index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
837,2-комнатная квартира,9.0,55.0,12.0,Alatau City,монолитный,2017.0,2.8,совмещенный,частично меблирована
357,1-комнатная квартира,2.0,44.0,9.0,Аккент,монолитный,2010.0,2.6,совмещенный,полностью меблирована
1497,1-комнатная квартира,4.0,39.0,5.0,MISSING,MISSING,2013.0,-999.0,совмещенный,частично меблирована
106,3-комнатная квартира,-999.0,75.0,-999.0,КГ Карасу,MISSING,2015.0,3.0,2 с/у и более,пустая
478,3-комнатная квартира,5.0,83.0,16.0,Аккент,монолитный,2010.0,2.7,2 с/у и более,пустая
692,1-комнатная квартира,2.0,30.0,6.0,MISSING,MISSING,2015.0,3.0,совмещенный,полностью меблирована
833,1-комнатная квартира,3.0,46.7,4.0,MISSING,MISSING,2014.0,2.8,совмещенный,частично меблирована
1489,3-комнатная квартира,9.0,70.0,12.0,Alatau City,монолитный,2021.0,2.7,раздельный,пустая
761,3-комнатная квартира,2.0,90.0,4.0,MISSING,MISSING,2014.0,2.8,раздельный,MISSING
862,3-комнатная квартира,2.0,63.4,2.0,MISSING,MISSING,1976.0,2.8,раздельный,частично меблирована
405,2-комнатная квартира,5.0,40.1,5.0,MISSING,монолитный,2018.0,2.6,совмещенный,частично меблирована
511,2-комнатная квартира,12.0,68.4,13.0,MISSING,MISSING,2018.0,3.0,раздельный,частично меблирована
76,1-комнатная квартира,4.0,42.3,7.0,Северное кольцо,монолитный,2016.0,-999.0,совмещенный,частично меблирована
1960,2-комнатная квартира,4.0,62.0,9.0,MISSING,MISSING,2010.0,2.7,совмещенный,частично меблирована
470,2-комнатная квартира,1.0,34.0,3.0,MISSING,MISSING,2017.0,2.8,совмещенный,пустая
1161,3-комнатная квартира,7.0,90.0,9.0,MISSING,MISSING,2010.0,2.8,2 с/у и более,частично меблирована
325,1-комнатная квартира,1.0,44.0,5.0,MISSING,монолитный,2019.0,-999.0,совмещенный,полностью меблирована
416,3-комнатная квартира,2.0,78.0,5.0,MISSING,MISSING,2012.0,2.7,раздельный,частично меблирована
1656,2-комнатная квартира,2.0,58.6,12.0,MISSING,MISSING,2017.0,2.7,2 с/у и более,полностью меблирована
668,2-комнатная квартира,3.0,66.5,16.0,MISSING,MISSING,2015.0,2.8,совмещенный,частично меблирована
77,1-комнатная квартира,3.0,39.0,9.0,MISSING,MISSING,2015.0,-999.0,совмещенный,частично меблирована
1222,3-комнатная квартира,3.0,88.0,5.0,Акбулак,монолитный,2011.0,2.7,раздельный,частично меблирована
27,1-комнатная квартира,14.0,40.0,15.0,Алмалы,MISSING,2019.0,-999.0,совмещенный,полностью меблирована
277,3-комнатная квартира,1.0,76.0,12.0,Алмалы,монолитный,2018.0,2.7,раздельный,MISSING
481,3-комнатная квартира,3.0,83.0,9.0,Аккент,монолитный,2010.0,2.7,раздельный,частично меблирована
300,1-комнатная квартира,5.0,46.0,12.0,Alatau City,монолитный,2020.0,2.75,совмещенный,полностью меблирована
933,2-комнатная квартира,14.0,50.0,14.0,Athletic village,монолитный,2017.0,2.8,совмещенный,частично меблирована
792,3-комнатная квартира,8.0,88.5,9.0,Нуркент,MISSING,2014.0,2.7,2 с/у и более,частично меблирована
1881,1-комнатная квартира,3.0,44.4,5.0,MISSING,MISSING,2015.0,2.6,совмещенный,полностью меблирована
713,1-комнатная квартира,1.0,41.0,8.0,MISSING,MISSING,2015.0,2.5,совмещенный,частично меблирована
555,2-комнатная квартира,1.0,65.0,9.0,Аккент,монолитный,2010.0,3.2,MISSING,частично меблирована
742,1-комнатная квартира,2.0,30.0,7.0,Северное кольцо,монолитный,2014.0,-999.0,совмещенный,пустая
2066,3-комнатная квартира,8.0,88.0,9.0,Нуркент,монолитный,2017.0,3.0,раздельный,частично меблирована
517,1-комнатная квартира,2.0,35.0,6.0,MISSING,MISSING,2021.0,2.7,совмещенный,пустая
1766,1-комнатная квартира,11.0,37.0,12.0,Алмалы,монолитный,2018.0,2.7,совмещенный,частично меблирована
1883,2-комнатная квартира,5.0,60.0,5.0,MISSING,MISSING,2013.0,-999.0,раздельный,частично меблирована
1427,3-комнатная квартира,-999.0,93.2,-999.0,MISSING,MISSING,2014.0,2.7,раздельный,полностью меблирована
108,1-комнатная квартира,12.0,35.0,13.0,Алмалы,монолитный,2017.0,2.8,совмещенный,частично меблирована
1105,3-комнатная квартира,2.0,126.0,3.0,MISSING,MISSING,-999.0,4.0,2 с/у и более,полностью меблирована
406,2-комнатная квартира,4.0,66.0,5.0,MISSING,MISSING,2011.0,3.0,раздельный,MISSING
1498,1-комнатная квартира,6.0,33.0,7.0,Северное кольцо,монолитный,2014.0,2.8,совмещенный,частично меблирована
902,1-комнатная квартира,11.0,37.0,12.0,Алмалы,монолитный,2019.0,2.7,совмещенный,частично меблирована
181,1-комнатная квартира,9.0,51.4,9.0,MISSING,MISSING,2011.0,2.8,совмещенный,полностью меблирована
67,2-комнатная квартира,5.0,65.0,5.0,ЖК в мкр. Саялы,монолитный,2016.0,2.7,раздельный,частично меблирована
784,1-комнатная квартира,12.0,37.0,12.0,Алмалы,монолитный,2020.0,2.8,совмещенный,полностью меблирована
1344,1-комнатная квартира,1.0,38.0,9.0,MISSING,MISSING,2011.0,3.2,MISSING,полностью меблирована
94,1-комнатная квартира,3.0,31.0,4.0,MISSING,MISSING,2018.0,-999.0,совмещенный,частично меблирована
1478,1-комнатная квартира,2.0,41.0,9.0,Аккент,монолитный,2010.0,-999.0,совмещенный,MISSING
1412,2-комнатная квартира,12.0,57.4,12.0,Alatau City,монолитный,2018.0,2.7,MISSING,полностью меблирована
3,1-комнатная квартира,2.0,45.0,9.0,Аккент,монолитный,2010.0,2.7,совмещенный,полностью меблирована
662,2-комнатная квартира,1.0,46.0,2.0,MISSING,MISSING,1969.0,-999.0,совмещенный,полностью меблирована
2005,3-комнатная квартира,1.0,62.0,2.0,MISSING,MISSING,-999.0,3.0,раздельный,частично меблирована
1268,2-комнатная квартира,2.0,44.0,5.0,MISSING,MISSING,1992.0,2.7,совмещенный,пустая
609,3-комнатная квартира,1.0,70.0,1.0,MISSING,MISSING,-999.0,2.8,совмещенный,частично меблирована
702,3-комнатная квартира,1.0,89.0,9.0,MISSING,MISSING,2017.0,2.8,2 с/у и более,MISSING
736,3-комнатная квартира,9.0,83.0,9.0,MISSING,MISSING,2010.0,-999.0,раздельный,MISSING
312,3-комнатная квартира,8.0,83.0,9.0,Аккент,монолитный,2015.0,2.8,2 с/у и более,частично меблирована
1979,2-комнатная квартира,8.0,70.0,9.0,MISSING,MISSING,2011.0,-999.0,MISSING,MISSING
1508,3-комнатная квартира,5.0,100.0,10.0,MISSING,монолитный,2012.0,2.7,раздельный,полностью меблирована
1699,1-комнатная квартира,2.0,44.0,5.0,MISSING,MISSING,2016.0,3.0,совмещенный,частично меблирована
1101,1-комнатная квартира,2.0,35.0,12.0,Алмалы,монолитный,2016.0,2.7,MISSING,MISSING
1155,1-комнатная квартира,4.0,39.0,5.0,MISSING,монолитный,2017.0,-999.0,MISSING,MISSING
1470,1-комнатная квартира,4.0,44.4,9.0,MISSING,MISSING,2014.0,-999.0,совмещенный,частично меблирована
6,1-комнатная квартира,4.0,25.0,4.0,MISSING,MISSING,2000.0,2.8,MISSING,MISSING
398,1-комнатная квартира,5.0,40.1,5.0,MISSING,MISSING,2017.0,2.7,совмещенный,MISSING
415,1-комнатная квартира,2.0,30.2,5.0,MISSING,монолитный,2019.0,2.8,совмещенный,частично меблирована
1196,2-комнатная квартира,5.0,62.4,5.0,MISSING,MISSING,2015.0,3.2,раздельный,частично меблирована
1567,1-комнатная квартира,11.0,46.0,13.0,MISSING,монолитный,2015.0,2.7,совмещенный,MISSING
354,2-комнатная квартира,10.0,64.0,10.0,Аккент,монолитный,2016.0,4.18,совмещенный,полностью меблирована
361,1-комнатная квартира,9.0,45.0,10.0,MISSING,MISSING,2012.0,-999.0,совмещенный,полностью меблирована
1063,1-комнатная квартира,3.0,42.0,5.0,MISSING,монолитный,2015.0,2.8,совмещенный,полностью меблирована
387,3-комнатная квартира,1.0,68.0,5.0,MISSING,MISSING,1989.0,2.8,раздельный,частично меблирована
1220,2-комнатная квартира,3.0,59.0,5.0,MISSING,MISSING,-999.0,-999.0,раздельный,частично меблирована
605,1-комнатная квартира,7.0,50.0,9.0,MISSING,MISSING,2010.0,2.8,совмещенный,частично меблирована
1835,3-комнатная квартира,1.0,62.0,2.0,MISSING,MISSING,1960.0,2.7,совмещенный,пустая
1650,2-комнатная квартира,2.0,62.6,5.0,ЖК в мкр. Саялы,монолитный,2015.0,3.2,раздельный,полностью меблирована
951,2-комнатная квартира,5.0,65.7,5.0,MISSING,MISSING,2018.0,-999.0,совмещенный,пустая
1616,1-комнатная квартира,7.0,51.0,9.0,MISSING,MISSING,2010.0,-999.0,MISSING,MISSING
943,2-комнатная квартира,12.0,57.7,12.0,Алмалы,монолитный,2021.0,2.7,2 с/у и более,пустая
282,3-комнатная квартира,2.0,90.0,9.0,MISSING,MISSING,2015.0,3.0,2 с/у и более,полностью меблирована
1375,1-комнатная квартира,7.0,45.0,7.0,MISSING,MISSING,2015.0,-999.0,совмещенный,MISSING
754,2-комнатная квартира,1.0,70.0,3.0,MISSING,MISSING,2007.0,3.0,совмещенный,частично меблирована
521,1-комнатная квартира,9.0,39.6,9.0,MISSING,MISSING,2012.0,-999.0,совмещенный,частично меблирована
133,2-комнатная квартира,1.0,64.0,9.0,MISSING,монолитный,2014.0,2.7,раздельный,частично меблирована
1905,1-комнатная квартира,5.0,39.0,9.0,MISSING,MISSING,2015.0,-999.0,совмещенный,частично меблирована
2011,1-комнатная квартира,8.0,50.0,10.0,MISSING,MISSING,2010.0,2.7,совмещенный,частично меблирована
1166,3-комнатная квартира,4.0,91.0,5.0,MISSING,MISSING,-999.0,-999.0,раздельный,MISSING
285,3-комнатная квартира,3.0,75.0,4.0,MISSING,MISSING,2014.0,2.8,совмещенный,частично меблирована
1081,3-комнатная квартира,5.0,75.0,5.0,MISSING,монолитный,2017.0,3.0,совмещенный,MISSING
1181,1-комнатная квартира,6.0,39.6,9.0,MISSING,MISSING,2013.0,2.8,совмещенный,полностью меблирована
931,2-комнатная квартира,5.0,55.5,8.0,MISSING,кирпичный,2017.0,2.7,совмещенный,частично меблирована
1694,3-комнатная квартира,12.0,89.0,13.0,MISSING,MISSING,2015.0,2.7,совмещенный,полностью меблирована
1673,3-комнатная квартира,1.0,89.0,2.0,MISSING,MISSING,2008.0,2.5,совмещенный,частично меблирована
572,3-комнатная квартира,5.0,90.0,5.0,MISSING,MISSING,2011.0,2.7,раздельный,полностью меблирована
75,2-комнатная квартира,7.0,54.0,14.0,Алмалы,монолитный,2019.0,2.7,2 с/у и более,частично меблирована
729,1-комнатная квартира,2.0,31.6,6.0,Северное кольцо,монолитный,2014.0,2.7,совмещенный,MISSING
1759,1-комнатная квартира,2.0,35.0,12.0,MISSING,MISSING,2016.0,-999.0,совмещенный,полностью меблирована
567,2-комнатная квартира,9.0,65.3,9.0,Аккент,монолитный,2015.0,2.6,совмещенный,частично меблирована
210,1-комнатная квартира,7.0,34.0,7.0,Северное кольцо,монолитный,2015.0,2.85,совмещенный,частично меблирована
403,1-комнатная квартира,1.0,34.0,5.0,MISSING,MISSING,1986.0,2.6,совмещенный,полностью меблирована
