index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
1082,3-комнатная квартира,1.0,67.9,12.0,Alatau City,монолитный,2018.0,2.8,раздельный,частично меблирована,28316954.0,27000000.0
786,1-комнатная квартира,8.0,52.2,9.0,MISSING,MISSING,2012.0,-999.0,совмещенный,MISSING,18550218.0,18000000.0
184,1-комнатная квартира,1.0,38.9,9.0,MISSING,MISSING,2017.0,-999.0,совмещенный,MISSING,16161421.0,21000000.0
1727,2-комнатная квартира,7.0,70.0,10.0,MISSING,монолитный,2011.0,2.8,раздельный,частично меблирована,26241820.0,26000000.0
501,2-комнатная квартира,4.0,66.6,6.0,MISSING,MISSING,2022.0,2.8,раздельный,MISSING,19942454.0,21645000.0
798,1-комнатная квартира,1.0,31.5,7.0,MISSING,MISSING,2016.0,2.8,совмещенный,пустая,12070846.0,8800000.0
550,2-комнатная квартира,4.0,56.0,9.0,MISSING,MISSING,2018.0,2.7,раздельный,частично меблирована,24501540.0,28500000.0
1758,1-комнатная квартира,9.0,40.0,10.0,Акниет,монолитный,2018.0,2.8,совмещенный,частично меблирована,17728062.0,17500000.0
96,2-комнатная квартира,1.0,58.0,12.0,Alatau City,монолитный,2018.0,2.7,раздельный,MISSING,24373718.0,24200000.0
2005,3-комнатная квартира,1.0,62.0,2.0,MISSING,MISSING,-999.0,3.0,раздельный,частично меблирована,21026840.0,23000000.0
1134,1-комнатная квартира,5.0,37.0,12.0,Алмалы,монолитный,2018.0,2.8,совмещенный,полностью меблирована,18605390.0,18500000.0
962,3-комнатная квартира,9.0,70.4,12.0,Alatau City,монолитный,2021.0,2.7,раздельный,пустая,27601530.0,25500000.0
388,1-комнатная квартира,2.0,35.0,12.0,Алмалы,монолитный,2017.0,2.7,совмещенный,MISSING,15959201.0,14500000.0
1862,2-комнатная квартира,5.0,49.0,6.0,MISSING,MISSING,1990.0,-999.0,MISSING,MISSING,22228594.0,18000000.0
1720,1-комнатная квартира,1.0,41.6,9.0,MISSING,MISSING,2015.0,-999.0,совмещенный,полностью меблирована,16088906.0,18000000.0
