index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2716,2-комнатная квартира,5.0,60.0,5.0,MISSING,MISSING,1991.0,-999.0,MISSING,MISSING
3268,2-комнатная квартира,6.0,86.0,10.0,Центральный,монолитный,2017.0,-999.0,2 с/у и более,полностью меблирована
5227,2-комнатная квартира,4.0,43.6,4.0,MISSING,MISSING,1975.0,2.5,совмещенный,полностью меблирована
1930,3-комнатная квартира,8.0,72.0,9.0,MISSING,MISSING,1985.0,-999.0,раздельный,частично меблирована
3744,1-комнатная квартира,1.0,26.0,4.0,MISSING,MISSING,1962.0,2.6,совмещенный,полностью меблирована
3300,2-комнатная квартира,3.0,75.0,15.0,Евразия,монолитный,2015.0,-999.0,MISSING,MISSING
5455,3-комнатная квартира,4.0,59.0,5.0,MISSING,MISSING,1978.0,-999.0,раздельный,пустая
5725,3-комнатная квартира,5.0,102.8,5.0,MISSING,MISSING,1990.0,-999.0,раздельный,MISSING
3834,2-комнатная квартира,3.0,63.0,5.0,MISSING,MISSING,1991.0,-999.0,раздельный,частично меблирована
3107,3-комнатная квартира,3.0,70.0,9.0,MISSING,MISSING,1982.0,-999.0,раздельный,частично меблирована
2561,1-комнатная квартира,2.0,18.0,5.0,MISSING,MISSING,1988.0,-999.0,совмещенный,MISSING
1940,3-комнатная квартира,9.0,93.7,10.0,Максима на Райымбека,монолитный,2007.0,2.7,раздельный,частично меблирована
929,2-комнатная квартира,11.0,52.5,13.0,Lamiya,монолитный,2021.0,-999.0,MISSING,MISSING
3601,1-комнатная квартира,11.0,45.0,20.0,Манхеттан (29 квартал),монолитный,2011.0,3.0,раздельный,MISSING
5217,2-комнатная квартира,6.0,84.0,7.0,Акмарал,кирпичный,2009.0,2.7,совмещенный,частично меблирована
2499,2-комнатная квартира,5.0,50.0,5.0,MISSING,MISSING,1994.0,-999.0,раздельный,MISSING
3758,3-комнатная квартира,7.0,140.0,13.0,MISSING,MISSING,2007.0,3.0,2 с/у и более,частично меблирована
2460,3-комнатная квартира,2.0,62.0,5.0,MISSING,MISSING,1974.0,2.5,совмещенный,частично меблирована
3356,2-комнатная квартира,1.0,53.0,5.0,MISSING,MISSING,1989.0,2.8,раздельный,полностью меблирована
1178,2-комнатная квартира,2.0,53.5,20.0,Манхеттан (29 квартал),монолитный,2008.0,3.0,совмещенный,MISSING
5123,3-комнатная квартира,8.0,69.4,17.0,Assem Plaza,монолитный,2021.0,3.0,MISSING,MISSING
2071,2-комнатная квартира,3.0,50.0,3.0,MISSING,MISSING,1949.0,3.2,совмещенный,частично меблирована
4983,4-комнатная квартира,12.0,122.2,13.0,Atlant,монолитный,2020.0,-999.0,совмещенный,пустая
1760,4-комнатная квартира,9.0,108.0,16.0,MISSING,MISSING,2013.0,-999.0,MISSING,MISSING
366,4-комнатная квартира,9.0,160.0,14.0,Жастар Mag,монолитный,2007.0,3.0,2 с/у и более,полностью меблирована
5143,2-комнатная квартира,5.0,55.0,5.0,MISSING,MISSING,1982.0,-999.0,раздельный,MISSING
4337,2-комнатная квартира,14.0,55.0,18.0,Манхеттан (29 квартал),монолитный,2008.0,2.8,раздельный,частично меблирована
2477,1-комнатная квартира,2.0,26.0,5.0,MISSING,MISSING,1979.0,2.7,раздельный,частично меблирована
4228,3-комнатная квартира,4.0,59.0,5.0,MISSING,MISSING,1978.0,-999.0,раздельный,частично меблирована
294,2-комнатная квартира,-999.0,46.9,-999.0,Nomad 2,MISSING,-999.0,2.7,совмещенный,MISSING
400,1-комнатная квартира,2.0,31.0,4.0,MISSING,MISSING,1975.0,-999.0,совмещенный,частично меблирована
4871,3-комнатная квартира,16.0,126.0,20.0,Манхеттан (29 квартал),монолитный,2011.0,3.0,MISSING,частично меблирована
3056,3-комнатная квартира,2.0,66.0,5.0,MISSING,MISSING,1978.0,-999.0,раздельный,MISSING
3963,2-комнатная квартира,4.0,53.0,5.0,MISSING,MISSING,1981.0,2.75,совмещенный,полностью меблирована
5847,3-комнатная квартира,4.0,60.0,4.0,MISSING,MISSING,1963.0,-999.0,раздельный,MISSING
5579,3-комнатная квартира,6.0,65.0,9.0,MISSING,MISSING,1990.0,-999.0,раздельный,пустая
5134,2-комнатная квартира,12.0,56.0,21.0,MISSING,MISSING,2012.0,-999.0,совмещенный,частично меблирована
942,3-комнатная квартира,1.0,65.0,5.0,MISSING,MISSING,1983.0,-999.0,раздельный,MISSING
2330,4-комнатная квартира,3.0,80.0,12.0,MISSING,MISSING,1988.0,2.0,раздельный,частично меблирована
703,2-комнатная квартира,14.0,80.0,20.0,Манхеттан (29 квартал),монолитный,2011.0,2.8,2 с/у и более,частично меблирована
3119,3-комнатная квартира,4.0,60.0,4.0,MISSING,MISSING,1970.0,-999.0,раздельный,MISSING
3791,2-комнатная квартира,1.0,42.0,5.0,MISSING,MISSING,1978.0,-999.0,MISSING,полностью меблирована
2171,2-комнатная квартира,5.0,54.0,5.0,MISSING,MISSING,1985.0,-999.0,раздельный,полностью меблирована
3893,3-комнатная квартира,4.0,72.0,9.0,MISSING,MISSING,1986.0,2.85,раздельный,полностью меблирована
1662,3-комнатная квартира,-999.0,96.4,-999.0,Double Star,монолитный,2021.0,3.0,совмещенный,MISSING
5407,3-комнатная квартира,4.0,70.0,9.0,MISSING,MISSING,1985.0,-999.0,MISSING,MISSING
2698,3-комнатная квартира,2.0,117.0,5.0,MISSING,MISSING,1985.0,-999.0,совмещенный,полностью меблирована
1329,1-комнатная квартира,8.0,44.0,9.0,MISSING,MISSING,2001.0,-999.0,MISSING,MISSING
5032,1-комнатная квартира,4.0,40.0,9.0,MISSING,MISSING,1986.0,-999.0,MISSING,MISSING
