index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
5753,3-комнатная квартира,2.0,60.0,5.0,MISSING,MISSING,1978.0,1.65,совмещенный,частично меблирована,28382176.0,23500000.0
1884,2-комнатная квартира,2.0,50.0,3.0,MISSING,MISSING,1960.0,2.8,совмещенный,частично меблирована,26300082.0,23500000.0
1702,2-комнатная квартира,3.0,60.0,3.0,MISSING,MISSING,1950.0,3.0,раздельный,полностью меблирована,41484360.0,29000000.0
2018,1-комнатная квартира,-999.0,45.0,-999.0,Манхеттан (29 квартал),монолитный,2012.0,2.8,совмещенный,MISSING,20211590.0,23500000.0
1375,1-комнатная квартира,4.0,45.0,9.0,MISSING,панельный,2001.0,2.9,совмещенный,полностью меблирована,21159904.0,19000000.0
3320,2-комнатная квартира,4.0,45.0,5.0,MISSING,MISSING,1978.0,-999.0,совмещенный,частично меблирована,22444668.0,23000000.0
5082,3-комнатная квартира,6.0,68.0,9.0,MISSING,MISSING,1987.0,2.7,раздельный,полностью меблирована,35164256.0,45000000.0
5421,2-комнатная квартира,4.0,54.0,4.0,MISSING,MISSING,1978.0,2.7,раздельный,частично меблирована,28648186.0,25000000.0
3671,2-комнатная квартира,4.0,54.0,8.0,MISSING,MISSING,1989.0,2.7,раздельный,MISSING,29745516.0,27500000.0
4498,3-комнатная квартира,12.0,98.0,13.0,12 месяцев,монолитный,2021.0,2.8,2 с/у и более,MISSING,33729880.0,36000000.0
3730,2-комнатная квартира,2.0,41.0,4.0,MISSING,MISSING,1965.0,-999.0,совмещенный,частично меблирована,20864934.0,19900000.0
3298,2-комнатная квартира,3.0,54.0,5.0,MISSING,MISSING,1980.0,2.7,совмещенный,MISSING,27900230.0,36000000.0
1015,4-комнатная квартира,2.0,113.6,2.0,MISSING,кирпичный,1954.0,3.0,2 с/у и более,частично меблирована,52210600.0,59000000.0
478,2-комнатная квартира,6.0,58.0,7.0,MISSING,MISSING,1989.0,-999.0,раздельный,частично меблирована,28347960.0,26300000.0
2532,3-комнатная квартира,16.0,127.8,19.0,Жастар Mag,монолитный,2006.0,3.0,2 с/у и более,полностью меблирована,73571130.0,80000000.0
3919,2-комнатная квартира,10.0,54.0,15.0,Каусар,монолитный,2012.0,3.0,совмещенный,полностью меблирована,31835652.0,31000000.0
4810,3-комнатная квартира,1.0,60.0,4.0,MISSING,MISSING,1963.0,2.6,совмещенный,частично меблирована,29232580.0,25000000.0
3890,3-комнатная квартира,11.0,93.94,12.0,SIRIUS,монолитный,2017.0,-999.0,MISSING,MISSING,42827860.0,42200000.0
1607,1-комнатная квартира,4.0,31.0,4.0,MISSING,MISSING,1961.0,-999.0,совмещенный,пустая,16831992.0,15500000.0
4155,1-комнатная квартира,5.0,20.0,5.0,MISSING,MISSING,1978.0,-999.0,MISSING,MISSING,7506429.0,7500000.0
559,2-комнатная квартира,14.0,75.0,18.0,Алтын Булак 2,монолитный,2013.0,3.0,раздельный,полностью меблирована,33909120.0,31000000.0
3476,4-комнатная квартира,6.0,149.0,6.0,Изумрудный город,кирпичный,2007.0,2.0,2 с/у и более,полностью меблирована,104274500.0,106000000.0
5690,1-комнатная квартира,10.0,46.0,21.0,LakeTown,монолитный,2021.0,2.8,совмещенный,пустая,27270610.0,24000000.0
1917,3-комнатная квартира,15.0,137.0,16.0,Жастар Mag,монолитный,2009.0,3.0,2 с/у и более,частично меблирована,72668470.0,75000000.0
3550,3-комнатная квартира,3.0,62.0,5.0,MISSING,MISSING,1981.0,-999.0,раздельный,частично меблирована,29780806.0,26000000.0
2572,2-комнатная квартира,7.0,65.0,18.0,Алтын Булак 2,MISSING,2013.0,2.8,2 с/у и более,полностью меблирована,32092032.0,33500000.0
