index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
4027,3-комнатная квартира,3.0,58.0,4.0,MISSING,MISSING,1971.0,2.8,раздельный,полностью меблирована
392,2-комнатная квартира,4.0,45.0,5.0,MISSING,MISSING,1978.0,-999.0,раздельный,MISSING
5176,2-комнатная квартира,5.0,43.0,5.0,MISSING,MISSING,1977.0,-999.0,MISSING,MISSING
180,1-комнатная квартира,3.0,42.0,5.0,MISSING,MISSING,1993.0,-999.0,MISSING,MISSING
1006,2-комнатная квартира,3.0,50.0,9.0,MISSING,MISSING,1985.0,-999.0,раздельный,MISSING
1335,2-комнатная квартира,4.0,41.0,4.0,MISSING,MISSING,1963.0,-999.0,совмещенный,частично меблирована
723,1-комнатная квартира,5.0,45.0,5.0,MISSING,MISSING,1987.0,-999.0,совмещенный,частично меблирована
3567,1-комнатная квартира,5.0,35.0,5.0,MISSING,MISSING,1988.0,-999.0,совмещенный,частично меблирована
631,3-комнатная квартира,7.0,72.0,9.0,MISSING,MISSING,1989.0,-999.0,MISSING,полностью меблирована
2402,3-комнатная квартира,4.0,85.0,7.0,MISSING,MISSING,1971.0,-999.0,раздельный,частично меблирована
4366,2-комнатная квартира,2.0,55.0,5.0,MISSING,MISSING,1986.0,-999.0,раздельный,частично меблирована
1807,1-комнатная квартира,5.0,19.4,5.0,MISSING,MISSING,1976.0,2.7,совмещенный,полностью меблирована
3972,2-комнатная квартира,16.0,55.0,18.0,MISSING,MISSING,2007.0,-999.0,раздельный,MISSING
5275,2-комнатная квартира,3.0,50.0,5.0,MISSING,MISSING,1988.0,2.8,раздельный,полностью меблирована
3819,3-комнатная квартира,5.0,80.0,5.0,MISSING,MISSING,1982.0,-999.0,совмещенный,частично меблирована
2711,1-комнатная квартира,4.0,32.0,4.0,MISSING,MISSING,1970.0,-999.0,совмещенный,MISSING
5014,3-комнатная квартира,9.0,108.0,10.0,Куаныш,монолитный,2016.0,-999.0,раздельный,частично меблирована
2104,3-комнатная квартира,9.0,128.0,9.0,Береке,монолитный,2009.0,3.0,2 с/у и более,частично меблирована
5448,2-комнатная квартира,12.0,63.8,13.0,Панорама,монолитный,2015.0,2.8,MISSING,MISSING
152,2-комнатная квартира,3.0,43.0,4.0,MISSING,MISSING,1965.0,-999.0,совмещенный,частично меблирована
1550,3-комнатная квартира,12.0,96.0,12.0,Панорама,монолитный,2018.0,2.8,раздельный,пустая
1610,2-комнатная квартира,4.0,44.0,4.0,MISSING,панельный,1972.0,-999.0,раздельный,MISSING
1293,1-комнатная квартира,3.0,38.0,5.0,MISSING,MISSING,1988.0,-999.0,совмещенный,частично меблирована
5799,3-комнатная квартира,4.0,85.0,7.0,MISSING,MISSING,1971.0,-999.0,раздельный,полностью меблирована
3934,2-комнатная квартира,10.0,54.0,15.0,Каусар,монолитный,2012.0,3.0,совмещенный,полностью меблирована
3923,4-комнатная квартира,16.0,130.0,18.0,Алтын Булак 2,монолитный,2011.0,3.0,2 с/у и более,полностью меблирована
331,4-комнатная квартира,4.0,73.7,4.0,MISSING,MISSING,1971.0,2.5,раздельный,частично меблирована
3960,4-комнатная квартира,5.0,96.2,5.0,MISSING,MISSING,1989.0,2.8,2 с/у и более,полностью меблирована
3106,3-комнатная квартира,2.0,116.6,13.0,Жайлы,монолитный,2015.0,2.7,2 с/у и более,частично меблирована
3224,2-комнатная квартира,3.0,44.0,5.0,MISSING,MISSING,1975.0,-999.0,MISSING,MISSING
1064,3-комнатная квартира,7.0,75.0,9.0,MISSING,MISSING,1972.0,2.8,раздельный,полностью меблирована
5344,3-комнатная квартира,1.0,56.0,5.0,MISSING,MISSING,1974.0,-999.0,раздельный,частично меблирована
2511,2-комнатная квартира,1.0,50.0,5.0,MISSING,MISSING,1996.0,-999.0,раздельный,MISSING
5208,3-комнатная квартира,11.0,90.4,15.0,MISSING,MISSING,2015.0,2.7,2 с/у и более,пустая
3715,3-комнатная квартира,8.0,90.0,20.0,Манхеттан (29 квартал),монолитный,2011.0,3.0,2 с/у и более,частично меблирована
2069,1-комнатная квартира,4.0,38.0,12.0,Акварель,монолитный,2017.0,-999.0,совмещенный,MISSING
5322,2-комнатная квартира,8.0,53.0,9.0,MISSING,MISSING,-999.0,3.0,раздельный,MISSING
4739,2-комнатная квартира,5.0,52.0,5.0,MISSING,MISSING,1983.0,-999.0,раздельный,пустая
3627,1-комнатная квартира,5.0,17.7,5.0,MISSING,MISSING,1996.0,-999.0,MISSING,MISSING
549,3-комнатная квартира,5.0,66.7,9.0,MISSING,MISSING,1980.0,2.7,раздельный,полностью меблирована
2418,2-комнатная квартира,12.0,95.0,18.0,Жастар Mag,монолитный,2008.0,-999.0,раздельный,полностью меблирована
3416,2-комнатная квартира,7.0,60.0,18.0,Алтын Булак 1,монолитный,2015.0,-999.0,совмещенный,полностью меблирована
2916,3-комнатная квартира,5.0,63.0,5.0,MISSING,MISSING,1991.0,2.8,раздельный,частично меблирована
5290,1-комнатная квартира,5.0,20.0,5.0,MISSING,MISSING,1978.0,-999.0,совмещенный,частично меблирована
3674,1-комнатная квартира,13.0,42.0,13.0,12 месяцев,монолитный,2021.0,-999.0,MISSING,MISSING
3895,3-комнатная квартира,2.0,77.6,5.0,MISSING,MISSING,1989.0,-999.0,раздельный,частично меблирована
3067,3-комнатная квартира,3.0,151.0,9.0,Береке,монолитный,2011.0,3.2,2 с/у и более,частично меблирована
3181,2-комнатная квартира,2.0,46.0,4.0,MISSING,MISSING,1969.0,-999.0,MISSING,полностью меблирована
2064,1-комнатная квартира,2.0,30.1,4.0,MISSING,MISSING,1963.0,2.7,совмещенный,полностью меблирована
3663,3-комнатная квартира,2.0,135.1,20.0,Манхеттан (29 квартал),монолитный,2011.0,3.0,совмещенный,полностью меблирована
5361,2-комнатная квартира,2.0,76.4,16.0,Евразия,монолитный,2015.0,2.7,совмещенный,полностью меблирована
5409,3-комнатная квартира,4.0,70.0,9.0,MISSING,MISSING,1985.0,-999.0,MISSING,MISSING
1754,3-комнатная квартира,7.0,75.0,9.0,MISSING,MISSING,1989.0,-999.0,раздельный,частично меблирована
3511,2-комнатная квартира,5.0,42.0,5.0,MISSING,MISSING,1978.0,2.8,совмещенный,частично меблирована
5457,3-комнатная квартира,4.0,59.0,5.0,MISSING,MISSING,1978.0,-999.0,раздельный,пустая
553,2-комнатная квартира,7.0,49.0,12.0,MISSING,MISSING,2017.0,-999.0,совмещенный,полностью меблирована
5258,3-комнатная квартира,6.0,82.0,9.0,Акмарал,монолитный,2009.0,2.7,раздельный,частично меблирована
2032,1-комнатная квартира,4.0,44.0,18.0,Манхеттан (29 квартал),монолитный,2011.0,2.8,совмещенный,частично меблирована
5165,2-комнатная квартира,7.0,70.0,10.0,Lotos Terrace,монолитный,2021.0,3.0,раздельный,пустая
1834,1-комнатная квартира,6.0,40.5,8.0,MISSING,MISSING,1977.0,-999.0,совмещенный,частично меблирована
3909,3-комнатная квартира,6.0,127.7,18.0,Жастар Mag,монолитный,2007.0,3.0,2 с/у и более,частично меблирована
1179,2-комнатная квартира,1.0,52.0,5.0,MISSING,MISSING,1991.0,-999.0,раздельный,полностью меблирована
1478,3-комнатная квартира,5.0,63.1,5.0,MISSING,MISSING,1973.0,2.8,MISSING,MISSING
1368,1-комнатная квартира,12.0,70.0,18.0,Алтын Булак 1,MISSING,2012.0,-999.0,MISSING,MISSING
371,4-комнатная квартира,9.0,160.0,14.0,Жастар Mag,монолитный,2007.0,3.0,2 с/у и более,полностью меблирована
3376,3-комнатная квартира,4.0,77.2,7.0,MISSING,MISSING,1976.0,-999.0,раздельный,частично меблирована
