index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
3483,4-комнатная квартира,6.0,149.0,6.0,Изумрудный город,кирпичный,2007.0,2.0,2 с/у и более,полностью меблирована,108686070.0,106000000.0
2547,3-комнатная квартира,3.0,117.0,15.0,MISSING,MISSING,2018.0,-999.0,MISSING,MISSING,69377670.0,52800000.0
2966,2-комнатная квартира,2.0,41.0,4.0,MISSING,MISSING,1964.0,-999.0,совмещенный,частично меблирована,20604852.0,18000000.0
3490,5-комнатная квартира,3.0,130.0,5.0,MISSING,MISSING,1992.0,-999.0,раздельный,MISSING,66202372.0,75000000.0
361,2-комнатная квартира,4.0,55.0,4.0,MISSING,MISSING,1972.0,2.8,MISSING,полностью меблирована,29743344.0,34000000.0
588,1-комнатная квартира,4.0,42.0,13.0,Atlant,монолитный,2017.0,-999.0,совмещенный,пустая,22222048.0,22500000.0
3800,2-комнатная квартира,2.0,43.0,5.0,MISSING,MISSING,1976.0,-999.0,MISSING,MISSING,22513254.0,23000000.0
5455,1-комнатная квартира,8.0,40.0,12.0,Молодежный на Тулебаева,монолитный,2021.0,-999.0,совмещенный,MISSING,19532498.0,22000000.0
5603,2-комнатная квартира,4.0,45.0,4.0,MISSING,MISSING,1971.0,-999.0,раздельный,MISSING,20799014.0,18500000.0
981,4-комнатная квартира,2.0,144.0,4.0,MISSING,MISSING,1964.0,-999.0,раздельный,MISSING,56645080.0,57000000.0
1447,2-комнатная квартира,6.0,50.0,6.0,MISSING,MISSING,1996.0,-999.0,MISSING,MISSING,24957866.0,23000000.0
4335,3-комнатная квартира,16.0,110.0,18.0,Алтын Булак 2,монолитный,2012.0,-999.0,2 с/у и более,MISSING,42498668.0,40000000.0
4467,5-комнатная квартира,3.0,170.0,3.0,MISSING,MISSING,1958.0,3.3,2 с/у и более,полностью меблирована,83499090.0,73000000.0
323,2-комнатная квартира,1.0,42.0,5.0,MISSING,MISSING,1978.0,-999.0,совмещенный,частично меблирована,21473630.0,17900000.0
4944,2-комнатная квартира,4.0,45.0,4.0,MISSING,MISSING,-999.0,2.7,совмещенный,MISSING,23023542.0,23000000.0
1811,2-комнатная квартира,4.0,54.0,4.0,MISSING,MISSING,1978.0,-999.0,раздельный,частично меблирована,25188344.0,23500000.0
67,2-комнатная квартира,5.0,48.5,13.0,Double Star,монолитный,2021.0,-999.0,MISSING,MISSING,26196762.0,29100000.0
720,2-комнатная квартира,5.0,83.3,15.0,Жайлы,монолитный,2012.0,2.8,2 с/у и более,полностью меблирована,41732970.0,35000000.0
3849,2-комнатная квартира,3.0,63.0,5.0,MISSING,MISSING,1991.0,-999.0,раздельный,частично меблирована,30603084.0,35000000.0
1554,2-комнатная квартира,2.0,66.0,13.0,12 месяцев,монолитный,2021.0,2.7,MISSING,MISSING,27399326.0,28000000.0
1514,4-комнатная квартира,14.0,130.0,18.0,Алтын Булак 2,монолитный,2011.0,-999.0,MISSING,MISSING,63180388.0,60000000.0
3447,2-комнатная квартира,5.0,77.0,13.0,Atlant,монолитный,2019.0,2.9,совмещенный,пустая,42231556.0,36100000.0
2694,4-комнатная квартира,5.0,145.0,10.0,MISSING,MISSING,-999.0,3.0,2 с/у и более,полностью меблирована,66413540.0,110000000.0
4099,2-комнатная квартира,2.0,68.0,7.0,MISSING,MISSING,1977.0,-999.0,MISSING,частично меблирована,35440384.0,31900000.0
