index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3577,2-комнатная квартира,9.0,55.0,17.0,Шахристан,монолитный,2014.0,2.95,совмещенный,частично меблирована
9020,3-комнатная квартира,2.0,74.9,9.0,MISSING,MISSING,1985.0,MISSING,MISSING,MISSING
3245,2-комнатная квартира,2.0,50.0,5.0,MISSING,MISSING,1986.0,MISSING,раздельный,частично меблирована
286,3-комнатная квартира,9.0,147.4,12.0,Есентай,монолитный,2019.0,3,2 с/у и более,MISSING
5390,2-комнатная квартира,12.0,40.0,12.0,Симфония,монолитный,2018.0,2.7,MISSING,MISSING
3896,2-комнатная квартира,5.0,52.0,12.0,Abay 130,монолитный,2016.0,2.85,совмещенный,полностью меблирована
569,2-комнатная квартира,12.0,75.0,25.0,Mega Tower Almaty,монолитный,2012.0,2.8,2 с/у и более,полностью меблирована
2473,3-комнатная квартира,1.0,57.0,4.0,MISSING,MISSING,1971.0,2.75,раздельный,пустая
3333,1-комнатная квартира,3.0,31.0,5.0,MISSING,MISSING,1975.0,MISSING,совмещенный,MISSING
7414,1-комнатная квартира,5.0,32.0,5.0,MISSING,MISSING,1978.0,MISSING,MISSING,MISSING
7070,1-комнатная квартира,5.0,12.0,5.0,MISSING,MISSING,1986.0,MISSING,раздельный,полностью меблирована
1021,2-комнатная квартира,1.0,48.0,5.0,MISSING,MISSING,1977.0,2,раздельный,пустая
5181,4-комнатная квартира,14.0,120.0,16.0,Солнечный Квартал,монолитный,2014.0,2.8,раздельный,частично меблирована
8152,2-комнатная квартира,2.0,49.0,4.0,MISSING,MISSING,1978.0,MISSING,раздельный,MISSING
1177,4-комнатная квартира,10.0,140.0,16.0,MISSING,MISSING,1979.0,2.8,2 с/у и более,полностью меблирована
2759,4-комнатная квартира,12.0,153.0,13.0,NS – Tau,монолитный,2015.0,2.7,MISSING,MISSING
7362,3-комнатная квартира,5.0,65.0,5.0,MISSING,панельный,1976.0,MISSING,раздельный,MISSING
307,2-комнатная квартира,9.0,55.0,21.0,Central Avenue,монолитный,2021.0,MISSING,совмещенный,MISSING
9467,3-комнатная квартира,5.0,116.0,17.0,Жандосова,монолитный,2016.0,2.8,раздельный,частично меблирована
6964,2-комнатная квартира,-999.0,65.0,-999.0,Асыл Тау,монолитный,2016.0,2.7,раздельный,частично меблирована
5223,2-комнатная квартира,7.0,74.0,12.0,MISSING,MISSING,2015.0,2.7,совмещенный,частично меблирована
2376,2-комнатная квартира,4.0,66.7,9.0,Heaven,монолитный,2021.0,3,совмещенный,пустая
4738,4-комнатная квартира,10.0,132.0,20.0,Apple Town,монолитный,2012.0,MISSING,2 с/у и более,полностью меблирована
5741,2-комнатная квартира,-999.0,55.0,-999.0,Комфорт,монолитный,2016.0,3,совмещенный,MISSING
1670,2-комнатная квартира,13.0,71.0,16.0,Өркендеу,монолитный,2016.0,3,совмещенный,MISSING
7451,2-комнатная квартира,11.0,62.0,12.0,Акварель,монолитный,2017.0,MISSING,совмещенный,MISSING
7806,3-комнатная квартира,5.0,60.0,5.0,MISSING,MISSING,1974.0,MISSING,раздельный,частично меблирована
1782,1-комнатная квартира,5.0,38.0,14.0,Gagarin Terrace,монолитный,2020.0,2.85,совмещенный,полностью меблирована
8831,3-комнатная квартира,5.0,123.0,7.0,Солнечная Долина,монолитный,2008.0,MISSING,2 с/у и более,MISSING
8155,2-комнатная квартира,2.0,66.1,12.0,MISSING,MISSING,2018.0,2.8,совмещенный,полностью меблирована
6800,3-комнатная квартира,7.0,107.9,9.0,Аль-Фараби,монолитный,2008.0,3,2 с/у и более,частично меблирована
1811,2-комнатная квартира,2.0,56.0,4.0,MISSING,MISSING,1960.0,MISSING,совмещенный,MISSING
7321,1-комнатная квартира,9.0,48.7,21.0,КУАТ на Сатпаева - Гагарина,монолитный,2006.0,3,совмещенный,MISSING
4618,3-комнатная квартира,4.0,58.0,5.0,MISSING,MISSING,1976.0,MISSING,MISSING,MISSING
18,1-комнатная квартира,-999.0,62.36,-999.0,Дом на Гагарина,MISSING,2019.0,2.7,совмещенный,MISSING
6662,2-комнатная квартира,4.0,38.9,4.0,MISSING,MISSING,1964.0,MISSING,MISSING,MISSING
4921,1-комнатная квартира,1.0,50.0,3.0,Esentai City,монолитный,2016.0,3.25,MISSING,MISSING
346,1-комнатная квартира,8.0,38.0,12.0,Акварель,монолитный,2021.0,2.74,совмещенный,MISSING
1916,1-комнатная квартира,10.0,50.0,12.0,Basenova10,монолитный,2017.0,3,совмещенный,MISSING
2051,2-комнатная квартира,4.0,43.0,5.0,MISSING,MISSING,1980.0,MISSING,MISSING,MISSING
3112,3-комнатная квартира,4.0,92.3,5.0,MISSING,MISSING,1990.0,MISSING,раздельный,полностью меблирована
5208,1-комнатная квартира,6.0,44.0,12.0,Аманат,монолитный,2018.0,MISSING,MISSING,MISSING
6284,2-комнатная квартира,4.0,52.0,5.0,MISSING,MISSING,1982.0,MISSING,раздельный,частично меблирована
6748,2-комнатная квартира,9.0,74.18,13.0,Heaven,монолитный,2022.0,3,MISSING,MISSING
57,4-комнатная квартира,-999.0,141.9,-999.0,Сакура,MISSING,2020.0,3.3,2 с/у и более,MISSING
1533,4-комнатная квартира,2.0,90.0,9.0,MISSING,MISSING,1986.0,MISSING,раздельный,частично меблирована
2967,3-комнатная квартира,4.0,111.0,4.0,Батыр,монолитный,2016.0,2.7,2 с/у и более,пустая
7307,2-комнатная квартира,2.0,114.0,16.0,AFD Plaza,монолитный,2015.0,3,раздельный,MISSING
6953,3-комнатная квартира,3.0,59.0,5.0,MISSING,MISSING,1976.0,MISSING,раздельный,MISSING
1016,3-комнатная квартира,1.0,68.0,9.0,MISSING,MISSING,1988.0,MISSING,раздельный,частично меблирована
1776,3-комнатная квартира,2.0,59.0,5.0,MISSING,MISSING,1980.0,MISSING,совмещенный,MISSING
9618,3-комнатная квартира,12.0,82.9,12.0,Element,монолитный,2020.0,2.9,2 с/у и более,частично меблирована
5986,2-комнатная квартира,2.0,49.8,9.0,MISSING,MISSING,1996.0,MISSING,раздельный,частично меблирована
1355,3-комнатная квартира,5.0,68.0,5.0,MISSING,MISSING,1976.0,MISSING,совмещенный,полностью меблирована
4124,2-комнатная квартира,7.0,88.0,12.0,Izumrud Residence,монолитный,2016.0,3,MISSING,MISSING
8626,2-комнатная квартира,3.0,68.0,12.0,Бай–тал,MISSING,2016.0,2.8,совмещенный,полностью меблирована
5156,1-комнатная квартира,11.0,38.0,12.0,Акварель,монолитный,2018.0,2.74,совмещенный,MISSING
238,1-комнатная квартира,-999.0,33.6,-999.0,Sholpan City,MISSING,2020.0,2.9,совмещенный,MISSING
7917,4-комнатная квартира,1.0,220.0,6.0,Байсал,монолитный,2009.0,3,2 с/у и более,полностью меблирована
