index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
6065,2-комнатная квартира,1.0,58.0,5.0,MISSING,MISSING,1980.0,MISSING,совмещенный,частично меблирована,26368132.0,24900000.0
2608,2-комнатная квартира,2.0,54.0,5.0,MISSING,MISSING,1990.0,MISSING,раздельный,полностью меблирована,30197002.0,28000000.0
3160,2-комнатная квартира,7.0,56.0,12.0,Симфония,монолитный,2017.0,2.7,совмещенный,частично меблирована,35416464.0,35000000.0
4282,4-комнатная квартира,14.0,170.0,21.0,Esentai Apartments,монолитный,2014.0,3,2 с/у и более,полностью меблирована,201097070.0,250000000.0
1428,2-комнатная квартира,7.0,65.0,9.0,Gagarin Terrace,монолитный,2019.0,2.85,совмещенный,пустая,39677000.0,39000000.0
5121,3-комнатная квартира,9.0,52.6,9.0,MISSING,MISSING,1980.0,2.5,раздельный,полностью меблирована,30239212.0,24400000.0
1976,3-комнатная квартира,5.0,115.0,16.0,Atria,монолитный,2021.0,3,2 с/у и более,MISSING,68822056.0,70000000.0
7938,1-комнатная квартира,1.0,31.0,5.0,MISSING,MISSING,1964.0,MISSING,совмещенный,MISSING,16296430.0,14500000.0
942,3-комнатная квартира,15.0,159.8,22.0,Бухар Жырау Тауэрс,монолитный,2010.0,3,2 с/у и более,пустая,103750776.0,86500000.0
7296,1-комнатная квартира,2.0,38.0,4.0,MISSING,MISSING,1969.0,MISSING,MISSING,MISSING,19076586.0,16000000.0
4292,1-комнатная квартира,8.0,55.0,14.0,КУАТ на Ескараева,монолитный,2009.0,2.8,совмещенный,MISSING,30717040.0,31500000.0
3922,3-комнатная квартира,3.0,58.0,4.0,MISSING,MISSING,1971.0,MISSING,совмещенный,частично меблирована,26483924.0,27000000.0
7704,4-комнатная квартира,4.0,170.0,20.0,MISSING,MISSING,2016.0,MISSING,2 с/у и более,частично меблирована,112848620.0,110000000.0
6953,3-комнатная квартира,3.0,59.0,5.0,MISSING,MISSING,1976.0,MISSING,раздельный,MISSING,26642352.0,27500000.0
7601,3-комнатная квартира,3.0,56.0,4.0,MISSING,MISSING,1969.0,MISSING,совмещенный,полностью меблирована,27180454.0,26900000.0
5182,3-комнатная квартира,7.0,88.0,10.0,Тау Самал на Навои,монолитный,2015.0,3,MISSING,MISSING,50761600.0,48000000.0
1160,2-комнатная квартира,5.0,85.0,17.0,Жандосова,монолитный,2017.0,2.8,совмещенный,MISSING,49830988.0,34500000.0
6392,2-комнатная квартира,10.0,63.9,21.0,Primavera,MISSING,2022.0,MISSING,MISSING,MISSING,44262580.0,38500000.0
6575,3-комнатная квартира,3.0,134.0,6.0,MISSING,MISSING,2011.0,3,2 с/у и более,полностью меблирована,99156080.0,112000000.0
4585,2-комнатная квартира,4.0,43.0,5.0,MISSING,MISSING,1987.0,MISSING,совмещенный,MISSING,22416376.0,22500000.0
8570,3-комнатная квартира,1.0,56.0,5.0,MISSING,MISSING,1974.0,2.8,совмещенный,частично меблирована,27138456.0,35000000.0
910,5-комнатная квартира,2.0,195.0,3.0,Hyde Park,монолитный,2018.0,MISSING,2 с/у и более,MISSING,165410050.0,255000000.0
1828,3-комнатная квартира,4.0,140.0,13.0,Космо,MISSING,2016.0,2.9,2 с/у и более,частично меблирована,94992800.0,60000000.0
3845,3-комнатная квартира,1.0,64.0,5.0,MISSING,MISSING,1972.0,MISSING,совмещенный,частично меблирована,29901226.0,28000000.0
9617,3-комнатная квартира,4.0,59.0,5.0,MISSING,MISSING,1976.0,MISSING,раздельный,MISSING,26860358.0,26500000.0
4597,4-комнатная квартира,14.0,101.0,16.0,Terra,монолитный,2021.0,2.85,2 с/у и более,пустая,70346240.0,72637000.0
6240,1-комнатная квартира,5.0,26.0,5.0,MISSING,MISSING,1977.0,MISSING,раздельный,MISSING,11589255.0,11500000.0
8383,3-комнатная квартира,7.0,97.0,12.0,Асыл Тау,монолитный,2014.0,2.7,MISSING,полностью меблирована,57774570.0,52000000.0
2244,6-комнатная квартира,14.0,278.0,16.0,КУАТ на Масанчи - Абая,монолитный,2003.0,3,раздельный,полностью меблирована,105692310.0,92000000.0
4807,3-комнатная квартира,2.0,60.0,5.0,MISSING,MISSING,1978.0,2.7,раздельный,частично меблирована,28807598.0,27200000.0
7240,2-комнатная квартира,4.0,35.0,4.0,MISSING,MISSING,1962.0,2.5,MISSING,MISSING,16822310.0,15500000.0
6845,3-комнатная квартира,5.0,65.0,5.0,MISSING,MISSING,1986.0,2.8,раздельный,полностью меблирована,33010400.0,36000000.0
5732,3-комнатная квартира,13.0,110.0,25.0,Mega Tower Almaty,монолитный,2008.0,2.9,2 с/у и более,MISSING,67216480.0,58900000.0
451,3-комнатная квартира,5.0,56.0,5.0,MISSING,MISSING,1972.0,MISSING,совмещенный,MISSING,25004988.0,23800000.0
3372,2-комнатная квартира,12.0,55.0,12.0,Асыл Тау,монолитный,2016.0,2.8,совмещенный,частично меблирована,34324830.0,36500000.0
5526,2-комнатная квартира,2.0,42.0,4.0,MISSING,MISSING,1974.0,MISSING,совмещенный,частично меблирована,20881020.0,23000000.0
4576,2-комнатная квартира,4.0,42.2,4.0,MISSING,MISSING,1970.0,MISSING,раздельный,частично меблирована,21631082.0,22000000.0
1824,1-комнатная квартира,3.0,40.0,4.0,MISSING,MISSING,1995.0,2.5,совмещенный,полностью меблирована,22194966.0,23000000.0
5186,3-комнатная квартира,3.0,63.0,5.0,MISSING,MISSING,1973.0,MISSING,раздельный,частично меблирована,30483250.0,29000000.0
7084,3-комнатная квартира,4.0,62.0,5.0,MISSING,MISSING,1976.0,2.5,раздельный,частично меблирована,30161768.0,33000000.0
7307,2-комнатная квартира,2.0,114.0,16.0,AFD Plaza,монолитный,2015.0,3,раздельный,MISSING,73489180.0,81000000.0
7228,5-комнатная квартира,4.0,217.0,4.0,MISSING,MISSING,2001.0,3,2 с/у и более,полностью меблирована,106475704.0,90000000.0
6754,1-комнатная квартира,1.0,31.0,5.0,MISSING,MISSING,1972.0,MISSING,совмещенный,MISSING,16210632.0,16000000.0
4485,3-комнатная квартира,7.0,100.0,16.0,Terra,монолитный,2021.0,2.85,MISSING,пустая,66763076.0,66973200.0
1117,3-комнатная квартира,8.0,78.0,9.0,MISSING,MISSING,1995.0,2.8,раздельный,частично меблирована,40236060.0,35000000.0
4766,2-комнатная квартира,3.0,39.0,4.0,MISSING,MISSING,1962.0,MISSING,совмещенный,частично меблирована,19152310.0,18500000.0
8169,3-комнатная квартира,10.0,135.0,12.0,MISSING,MISSING,2015.0,MISSING,раздельный,MISSING,77518890.0,65000000.0
3133,4-комнатная квартира,2.0,100.0,9.0,MISSING,MISSING,1986.0,MISSING,раздельный,частично меблирована,52188224.0,46000000.0
