index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1184,1-комнатная квартира,3.0,32.1,5.0,MISSING,MISSING,1988.0,2.5,совмещенный,частично меблирована
422,4-комнатная квартира,4.0,85.0,5.0,MISSING,MISSING,1985.0,2.7,раздельный,частично меблирована
103,1-комнатная квартира,2.0,35.0,5.0,MISSING,MISSING,1987.0,-999.0,совмещенный,полностью меблирована
497,3-комнатная квартира,2.0,60.0,4.0,MISSING,MISSING,1966.0,-999.0,MISSING,MISSING
1134,3-комнатная квартира,1.0,66.0,5.0,MISSING,MISSING,1985.0,-999.0,раздельный,MISSING
1282,2-комнатная квартира,4.0,54.3,5.0,MISSING,MISSING,1983.0,2.8,раздельный,частично меблирована
907,3-комнатная квартира,2.0,65.0,5.0,MISSING,MISSING,1986.0,2.8,раздельный,частично меблирована
1592,3-комнатная квартира,1.0,75.0,9.0,Максима на Райымбека,монолитный,2006.0,2.7,раздельный,частично меблирована
216,1-комнатная квартира,4.0,41.0,5.0,MISSING,MISSING,1987.0,2.7,раздельный,MISSING
306,2-комнатная квартира,-999.0,65.0,-999.0,MISSING,MISSING,1990.0,-999.0,раздельный,частично меблирована
845,3-комнатная квартира,1.0,58.0,3.0,MISSING,панельный,1981.0,2.5,раздельный,MISSING
784,2-комнатная квартира,1.0,45.0,2.0,MISSING,MISSING,1960.0,2.0,раздельный,MISSING
745,1-комнатная квартира,3.0,36.0,5.0,MISSING,MISSING,1987.0,2.8,MISSING,частично меблирована
1364,3-комнатная квартира,1.0,66.0,3.0,MISSING,MISSING,1984.0,-999.0,совмещенный,MISSING
322,2-комнатная квартира,1.0,30.2,2.0,MISSING,MISSING,1960.0,-999.0,MISSING,MISSING
831,2-комнатная квартира,2.0,45.0,3.0,MISSING,MISSING,1983.0,-999.0,совмещенный,полностью меблирована
518,2-комнатная квартира,4.0,46.0,6.0,MISSING,MISSING,1993.0,2.8,совмещенный,частично меблирована
1664,2-комнатная квартира,3.0,45.0,5.0,MISSING,MISSING,1987.0,-999.0,раздельный,MISSING
471,1-комнатная квартира,3.0,40.0,5.0,MISSING,MISSING,1982.0,-999.0,MISSING,MISSING
1638,1-комнатная квартира,4.0,33.0,5.0,MISSING,MISSING,1985.0,-999.0,совмещенный,MISSING
1392,1-комнатная квартира,1.0,47.0,5.0,MISSING,MISSING,1983.0,-999.0,MISSING,MISSING
1347,1-комнатная квартира,5.0,39.7,5.0,MISSING,MISSING,1985.0,-999.0,раздельный,пустая
529,1-комнатная квартира,1.0,17.0,2.0,MISSING,MISSING,-999.0,3.0,совмещенный,полностью меблирована
489,3-комнатная квартира,1.0,67.7,5.0,MISSING,MISSING,1989.0,2.6,раздельный,частично меблирована
538,1-комнатная квартира,5.0,43.0,5.0,MISSING,MISSING,1983.0,2.8,совмещенный,частично меблирована
1153,2-комнатная квартира,5.0,65.0,6.0,MISSING,MISSING,2008.0,-999.0,MISSING,MISSING
557,3-комнатная квартира,1.0,70.0,6.0,MISSING,MISSING,1991.0,2.75,раздельный,MISSING
1077,3-комнатная квартира,1.0,77.5,5.0,MISSING,MISSING,2006.0,2.8,раздельный,частично меблирована
446,2-комнатная квартира,2.0,45.0,3.0,MISSING,MISSING,1984.0,-999.0,совмещенный,полностью меблирована
486,3-комнатная квартира,2.0,60.0,5.0,MISSING,панельный,1986.0,2.5,совмещенный,полностью меблирована
36,1-комнатная квартира,1.0,40.0,7.0,MISSING,MISSING,2014.0,2.8,совмещенный,частично меблирована
1275,2-комнатная квартира,3.0,52.0,5.0,MISSING,MISSING,1985.0,2.8,совмещенный,MISSING
595,1-комнатная квартира,2.0,43.9,3.0,MISSING,MISSING,1975.0,2.5,раздельный,пустая
194,3-комнатная квартира,2.0,95.0,3.0,MISSING,MISSING,1986.0,-999.0,раздельный,частично меблирована
1495,2-комнатная квартира,4.0,36.0,4.0,MISSING,MISSING,-999.0,-999.0,совмещенный,MISSING
413,3-комнатная квартира,6.0,105.0,6.0,MISSING,монолитный,2009.0,2.8,раздельный,частично меблирована
1628,3-комнатная квартира,4.0,65.0,5.0,MISSING,MISSING,1985.0,-999.0,совмещенный,MISSING
1690,2-комнатная квартира,5.0,58.0,5.0,MISSING,монолитный,2007.0,2.8,раздельный,полностью меблирована
1441,2-комнатная квартира,2.0,46.9,5.0,MISSING,MISSING,1987.0,-999.0,совмещенный,частично меблирована
1369,3-комнатная квартира,1.0,96.0,5.0,MISSING,MISSING,1987.0,2.5,2 с/у и более,полностью меблирована
950,1-комнатная квартира,2.0,40.0,6.0,MISSING,монолитный,2011.0,3.0,совмещенный,частично меблирована
408,2-комнатная квартира,4.0,54.0,5.0,MISSING,MISSING,1985.0,2.8,раздельный,MISSING
833,2-комнатная квартира,5.0,58.0,5.0,MISSING,MISSING,1990.0,-999.0,раздельный,полностью меблирована
1145,3-комнатная квартира,3.0,67.1,3.0,MISSING,MISSING,1979.0,2.8,раздельный,частично меблирована
1012,1-комнатная квартира,2.0,33.5,5.0,MISSING,MISSING,1989.0,2.7,совмещенный,частично меблирована
1338,1-комнатная квартира,5.0,47.2,9.0,Максима на Райымбека,монолитный,2007.0,2.7,совмещенный,частично меблирована
1140,1-комнатная квартира,4.0,33.0,5.0,MISSING,MISSING,1985.0,-999.0,совмещенный,MISSING
1217,2-комнатная квартира,5.0,51.0,5.0,MISSING,MISSING,1988.0,-999.0,MISSING,частично меблирована
95,1-комнатная квартира,2.0,40.1,5.0,MISSING,MISSING,2008.0,2.8,совмещенный,полностью меблирована
1492,2-комнатная квартира,4.0,50.7,5.0,MISSING,MISSING,1991.0,2.8,MISSING,MISSING
891,1-комнатная квартира,3.0,31.0,5.0,MISSING,MISSING,1985.0,-999.0,совмещенный,MISSING
589,1-комнатная квартира,1.0,19.0,4.0,MISSING,MISSING,1970.0,-999.0,MISSING,MISSING
65,2-комнатная квартира,4.0,61.6,5.0,MISSING,MISSING,2006.0,2.7,раздельный,частично меблирована
870,3-комнатная квартира,1.0,60.0,5.0,MISSING,MISSING,1982.0,-999.0,раздельный,MISSING
1000,2-комнатная квартира,4.0,44.0,5.0,MISSING,MISSING,1982.0,2.5,совмещенный,пустая
219,2-комнатная квартира,5.0,60.0,5.0,MISSING,MISSING,-999.0,2.9,MISSING,MISSING
97,1-комнатная квартира,9.0,40.0,9.0,MISSING,MISSING,2009.0,-999.0,совмещенный,частично меблирована
476,2-комнатная квартира,5.0,43.3,5.0,MISSING,MISSING,1966.0,-999.0,совмещенный,MISSING
664,2-комнатная квартира,7.0,58.69,9.0,Dragon City,монолитный,2021.0,2.8,MISSING,MISSING
1368,2-комнатная квартира,4.0,57.0,5.0,MISSING,MISSING,-999.0,2.6,MISSING,MISSING
401,1-комнатная квартира,6.0,47.9,9.0,MISSING,MISSING,2006.0,2.7,совмещенный,полностью меблирована
786,2-комнатная квартира,6.0,60.0,9.0,MISSING,монолитный,2015.0,3.0,совмещенный,полностью меблирована
1581,2-комнатная квартира,3.0,62.2,6.0,MISSING,монолитный,2008.0,2.8,MISSING,полностью меблирована
897,3-комнатная квартира,2.0,64.0,3.0,MISSING,MISSING,-999.0,2.6,раздельный,частично меблирована
808,3-комнатная квартира,5.0,64.0,5.0,MISSING,MISSING,1982.0,-999.0,раздельный,MISSING
1499,1-комнатная квартира,3.0,35.0,5.0,MISSING,MISSING,1985.0,-999.0,совмещенный,MISSING
311,3-комнатная квартира,1.0,66.0,3.0,MISSING,MISSING,1984.0,-999.0,совмещенный,MISSING
248,2-комнатная квартира,1.0,59.0,5.0,MISSING,MISSING,1991.0,2.7,MISSING,MISSING
1548,3-комнатная квартира,5.0,78.0,5.0,MISSING,MISSING,2006.0,2.8,раздельный,MISSING
1079,1-комнатная квартира,1.0,42.0,5.0,MISSING,MISSING,1991.0,2.8,совмещенный,полностью меблирована
1699,3-комнатная квартира,5.0,67.0,5.0,MISSING,MISSING,1991.0,-999.0,раздельный,MISSING
165,1-комнатная квартира,1.0,39.1,6.0,MISSING,MISSING,2008.0,2.7,совмещенный,пустая
1342,2-комнатная квартира,1.0,65.0,6.0,MISSING,MISSING,2008.0,2.7,раздельный,MISSING
177,2-комнатная квартира,5.0,45.0,5.0,MISSING,MISSING,1987.0,2.8,совмещенный,MISSING
969,1-комнатная квартира,1.0,44.0,9.0,MISSING,MISSING,2006.0,-999.0,совмещенный,MISSING
90,1-комнатная квартира,1.0,20.0,1.0,MISSING,MISSING,1947.0,3.0,совмещенный,полностью меблирована
933,2-комнатная квартира,2.0,60.9,3.0,MISSING,MISSING,1986.0,2.65,2 с/у и более,частично меблирована
1561,1-комнатная квартира,5.0,33.3,5.0,MISSING,MISSING,1985.0,-999.0,совмещенный,частично меблирована
1661,4-комнатная квартира,4.0,75.0,5.0,MISSING,MISSING,-999.0,-999.0,раздельный,пустая
931,1-комнатная квартира,1.0,30.9,2.0,MISSING,MISSING,1985.0,3.0,совмещенный,MISSING
210,1-комнатная квартира,-999.0,32.0,-999.0,MISSING,MISSING,2009.0,2.75,совмещенный,пустая
1464,3-комнатная квартира,6.0,106.0,6.0,MISSING,MISSING,2008.0,2.8,раздельный,полностью меблирована
683,1-комнатная квартира,2.0,34.0,5.0,MISSING,MISSING,1991.0,2.8,совмещенный,полностью меблирована
1706,2-комнатная квартира,6.0,65.0,6.0,MISSING,MISSING,2008.0,2.7,раздельный,полностью меблирована
626,1-комнатная квартира,1.0,41.0,5.0,MISSING,MISSING,2006.0,3.0,совмещенный,MISSING
143,1-комнатная квартира,4.0,40.9,5.0,MISSING,MISSING,1992.0,2.8,раздельный,частично меблирована
736,4-комнатная квартира,4.0,82.1,5.0,MISSING,MISSING,1988.0,2.0,раздельный,частично меблирована
1425,2-комнатная квартира,2.0,65.0,6.0,MISSING,MISSING,2008.0,2.7,раздельный,полностью меблирована
1058,1-комнатная квартира,2.0,38.0,9.0,MISSING,MISSING,2007.0,2.8,совмещенный,частично меблирована
503,1-комнатная квартира,2.0,40.0,5.0,MISSING,MISSING,1989.0,2.8,раздельный,MISSING
48,2-комнатная квартира,5.0,61.0,5.0,MISSING,MISSING,2006.0,2.8,раздельный,MISSING
239,2-комнатная квартира,6.0,64.0,6.0,MISSING,MISSING,2004.0,2.8,раздельный,полностью меблирована
569,1-комнатная квартира,1.0,44.0,9.0,Максима на Райымбека,монолитный,2005.0,2.7,совмещенный,частично меблирована
271,2-комнатная квартира,1.0,45.0,5.0,MISSING,MISSING,1985.0,-999.0,раздельный,MISSING
158,2-комнатная квартира,2.0,42.0,2.0,MISSING,MISSING,-999.0,-999.0,раздельный,MISSING
1601,1-комнатная квартира,4.0,39.0,6.0,MISSING,MISSING,2008.0,2.7,совмещенный,MISSING
582,3-комнатная квартира,2.0,93.3,3.0,MISSING,MISSING,1974.0,2.7,раздельный,частично меблирована
328,3-комнатная квартира,3.0,65.0,4.0,MISSING,MISSING,1972.0,2.6,раздельный,частично меблирована
