index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3044,1-комнатная квартира,5.0,38.3,6.0,MISSING,MISSING,1972.0,MISSING,совмещенный,частично меблирована
3970,2-комнатная квартира,6.0,50.0,11.0,Восточный Парк,монолитный,2017.0,3.0,совмещенный,MISSING
2203,3-комнатная квартира,4.0,90.7,5.0,MISSING,MISSING,1990.0,MISSING,раздельный,MISSING
3922,3-комнатная квартира,-999.0,64.0,-999.0,MISSING,MISSING,1974.0,MISSING,MISSING,MISSING
2476,3-комнатная квартира,1.0,63.0,5.0,MISSING,MISSING,1980.0,MISSING,совмещенный,частично меблирована
2732,4-комнатная квартира,3.0,200.0,8.0,Европолис,монолитный,2007.0,MISSING,2 с/у и более,полностью меблирована
3147,2-комнатная квартира,6.0,48.0,9.0,MISSING,MISSING,1986.0,2.7,совмещенный,MISSING
3043,3-комнатная квартира,2.0,115.0,9.0,MISSING,MISSING,2018.0,3.0,совмещенный,MISSING
3020,7-комнатная квартира,-999.0,270.0,-999.0,Алем (КГ),монолитный,2006.0,3.0,2 с/у и более,полностью меблирована
1997,8-комнатная квартира,1.0,435.0,3.0,Эдельвейс (КГ),монолитный,2010.0,3.0,2 с/у и более,полностью меблирована
1295,3-комнатная квартира,3.0,58.0,5.0,MISSING,MISSING,1974.0,2.65,совмещенный,частично меблирована
3764,3-комнатная квартира,6.0,210.0,9.0,Салем-2,кирпичный,2013.0,3.0,MISSING,MISSING
2884,2-комнатная квартира,2.0,50.0,10.0,Ush Qońyr,монолитный,2017.0,2.75,совмещенный,частично меблирована
2412,1-комнатная квартира,7.0,39.8,9.0,Vostochka.kz,монолитный,2020.0,2.7,MISSING,MISSING
869,3-комнатная квартира,5.0,80.0,9.0,MISSING,MISSING,1990.0,MISSING,совмещенный,полностью меблирована
292,3-комнатная квартира,5.0,64.0,9.0,MISSING,MISSING,1984.0,MISSING,раздельный,MISSING
3848,3-комнатная квартира,5.0,113.0,22.0,Самал Делюкс,монолитный,2008.0,3.0,MISSING,MISSING
3526,1-комнатная квартира,4.0,40.0,5.0,MISSING,MISSING,1976.0,MISSING,раздельный,частично меблирована
3751,4-комнатная квартира,-999.0,140.0,-999.0,MISSING,MISSING,2011.0,MISSING,совмещенный,MISSING
2511,4-комнатная квартира,3.0,130.0,5.0,MISSING,MISSING,1981.0,2.7,2 с/у и более,частично меблирована
2936,4-комнатная квартира,8.0,154.0,9.0,Салем-2,монолитный,2015.0,3.0,MISSING,MISSING
2160,2-комнатная квартира,9.0,53.0,12.0,MISSING,MISSING,1989.0,MISSING,MISSING,MISSING
3909,4-комнатная квартира,4.0,101.0,5.0,MISSING,MISSING,1973.0,3.0,2 с/у и более,частично меблирована
1396,3-комнатная квартира,2.0,121.0,3.0,Esentai City,монолитный,2018.0,3.25,2 с/у и более,MISSING
635,6-комнатная квартира,1.0,265.0,7.0,Dostyk Residence,монолитный,2017.0,3.15,MISSING,MISSING
987,6-комнатная квартира,2.0,412.0,4.0,MISSING,MISSING,2013.0,3.5,2 с/у и более,MISSING
2857,1-комнатная квартира,3.0,14.0,3.0,MISSING,MISSING,-999.0,3.0,MISSING,частично меблирована
2429,3-комнатная квартира,3.0,174.0,10.0,Exclusive Residence,монолитный,2016.0,3.2,2 с/у и более,полностью меблирована
2371,3-комнатная квартира,8.0,120.0,9.0,Европолис,MISSING,2015.0,MISSING,2 с/у и более,полностью меблирована
3384,2-комнатная квартира,13.0,46.0,13.0,MISSING,MISSING,2017.0,MISSING,совмещенный,MISSING
1333,1-комнатная квартира,4.0,60.0,13.0,Central Park Residence,монолитный,2017.0,3.0,совмещенный,частично меблирована
3700,4-комнатная квартира,1.0,140.0,3.0,MISSING,MISSING,2017.0,3.0,MISSING,MISSING
1652,3-комнатная квартира,1.0,118.0,5.0,Меркур Град,MISSING,2010.0,MISSING,2 с/у и более,MISSING
809,5-комнатная квартира,3.0,180.0,4.0,Алмалы,монолитный,2012.0,MISSING,MISSING,MISSING
1554,2-комнатная квартира,6.0,63.0,9.0,Vostochka.kz,монолитный,2017.0,2.7,совмещенный,пустая
3773,4-комнатная квартира,1.0,220.0,3.0,Alatau Hills,монолитный,2016.0,3.0,2 с/у и более,частично меблирована
426,2-комнатная квартира,2.0,43.0,4.0,MISSING,MISSING,1973.0,MISSING,MISSING,частично меблирована
2723,2-комнатная квартира,5.0,35.7,5.0,MISSING,MISSING,1978.0,2.8,совмещенный,полностью меблирована
2852,4-комнатная квартира,5.0,105.0,6.0,MISSING,MISSING,2004.0,2.9,2 с/у и более,полностью меблирована
1444,1-комнатная квартира,6.0,25.0,9.0,MISSING,MISSING,2017.0,MISSING,совмещенный,полностью меблирована
1822,2-комнатная квартира,4.0,42.0,4.0,MISSING,MISSING,1961.0,2.8,совмещенный,полностью меблирована
3823,2-комнатная квартира,5.0,67.0,5.0,MISSING,MISSING,1978.0,MISSING,MISSING,полностью меблирована
2177,1-комнатная квартира,1.0,45.0,3.0,MISSING,MISSING,2014.0,MISSING,MISSING,MISSING
311,5-комнатная квартира,1.0,294.6,7.0,Dostyk Residence,монолитный,2017.0,3.15,MISSING,MISSING
174,4-комнатная квартира,4.0,197.0,9.0,MISSING,MISSING,-999.0,3.2,2 с/у и более,MISSING
473,3-комнатная квартира,5.0,120.0,6.0,MISSING,MISSING,1992.0,MISSING,2 с/у и более,частично меблирована
978,2-комнатная квартира,2.0,67.0,9.0,На Богенбай Батыра,монолитный,2021.0,2.7,раздельный,пустая
2524,3-комнатная квартира,3.0,115.0,3.0,MISSING,MISSING,2015.0,3.3,2 с/у и более,полностью меблирована
216,6-комнатная квартира,9.0,246.0,9.0,MISSING,MISSING,2006.0,MISSING,2 с/у и более,пустая
682,2-комнатная квартира,11.0,47.0,25.0,Mega Tower Almaty,монолитный,2015.0,2.8,совмещенный,полностью меблирована
264,1-комнатная квартира,8.0,36.5,8.0,MISSING,MISSING,1978.0,2.65,раздельный,частично меблирована
493,1-комнатная квартира,6.0,40.0,12.0,Молодежный на Тулебаева,монолитный,2021.0,2.8,MISSING,пустая
633,3-комнатная квартира,5.0,106.0,9.0,MISSING,MISSING,1980.0,MISSING,MISSING,MISSING
890,2-комнатная квартира,3.0,87.1,7.0,ile de France,монолитный,2016.0,3.2,MISSING,MISSING
2280,2-комнатная квартира,13.0,65.0,13.0,Восточный Парк,монолитный,2018.0,3.0,совмещенный,частично меблирована
3423,1-комнатная квартира,5.0,35.0,5.0,MISSING,MISSING,1980.0,MISSING,раздельный,MISSING
4105,3-комнатная квартира,7.0,85.5,9.0,Европолис,MISSING,2009.0,3.0,совмещенный,полностью меблирована
3677,2-комнатная квартира,7.0,82.0,10.0,Ush Qońyr,монолитный,2017.0,MISSING,MISSING,MISSING
1799,2-комнатная квартира,8.0,47.7,9.0,MISSING,MISSING,2014.0,MISSING,раздельный,MISSING
2665,2-комнатная квартира,3.0,90.0,7.0,Рапсодия,монолитный,2007.0,3.0,2 с/у и более,полностью меблирована
2998,3-комнатная квартира,6.0,84.0,9.0,Vostochka.kz,монолитный,2018.0,2.8,раздельный,полностью меблирована
803,4-комнатная квартира,4.0,197.0,10.0,Клубный дом DeVille,монолитный,2018.0,MISSING,2 с/у и более,частично меблирована
35,1-комнатная квартира,3.0,30.0,5.0,MISSING,MISSING,1977.0,2.8,совмещенный,полностью меблирована
1293,1-комнатная квартира,5.0,35.0,5.0,MISSING,MISSING,1980.0,MISSING,раздельный,полностью меблирована
1074,1-комнатная квартира,5.0,33.8,5.0,MISSING,MISSING,1991.0,MISSING,совмещенный,частично меблирована
697,3-комнатная квартира,2.0,62.0,4.0,MISSING,MISSING,1980.0,2.7,совмещенный,частично меблирована
1796,2-комнатная квартира,1.0,58.0,5.0,MISSING,MISSING,1989.0,MISSING,раздельный,частично меблирована
116,4-комнатная квартира,-999.0,152.19,-999.0,Gorny Hills,MISSING,2021.0,3.0,2 с/у и более,MISSING
