index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
1492,2-комнатная квартира,1.0,84.0,5.0,MISSING,MISSING,2011.0,2.7,MISSING,MISSING,35604784.0,32500000.0
307,3-комнатная квартира,6.0,79.0,7.0,ile de France,монолитный,2015.0,3.3,MISSING,MISSING,53954450.0,55000000.0
963,3-комнатная квартира,5.0,121.44,7.0,ile de France,монолитный,2015.0,3.3,MISSING,MISSING,91826130.0,88330000.0
1242,2-комнатная квартира,1.0,67.2,5.0,MISSING,MISSING,2011.0,MISSING,раздельный,частично меблирована,25508878.0,32500000.0
1375,1-комнатная квартира,4.0,60.0,13.0,Central Park Residence,монолитный,2017.0,3.0,совмещенный,полностью меблирована,38140212.0,39000000.0
95,3-комнатная квартира,4.0,92.8,5.0,MISSING,MISSING,1968.0,2.8,совмещенный,частично меблирована,58071504.0,58200000.0
2614,1-комнатная квартира,1.0,40.0,9.0,Vostochka.kz,монолитный,2021.0,2.7,совмещенный,полностью меблирована,18131430.0,20000000.0
510,4-комнатная квартира,5.0,92.0,5.0,MISSING,MISSING,1973.0,MISSING,совмещенный,MISSING,59666000.0,60000000.0
2232,4-комнатная квартира,1.0,134.0,4.0,MISSING,MISSING,1968.0,3.0,2 с/у и более,полностью меблирована,100486200.0,90000000.0
200,4-комнатная квартира,5.0,242.0,5.0,MISSING,MISSING,2007.0,2.99,2 с/у и более,частично меблирована,179410720.0,190000000.0
3691,5-комнатная квартира,4.0,300.0,5.0,Европолис,монолитный,2009.0,MISSING,2 с/у и более,частично меблирована,224962450.0,240000000.0
3116,2-комнатная квартира,2.0,120.0,4.0,Европолис,монолитный,2007.0,3.0,2 с/у и более,MISSING,76422330.0,75000000.0
1151,1-комнатная квартира,3.0,35.9,5.0,MISSING,MISSING,1980.0,MISSING,совмещенный,частично меблирована,23039844.0,23000000.0
2671,4-комнатная квартира,5.0,163.0,7.0,Максима Резидентс,монолитный,2012.0,4.0,2 с/у и более,частично меблирована,153022850.0,166140000.0
3044,1-комнатная квартира,5.0,38.3,6.0,MISSING,MISSING,1972.0,MISSING,совмещенный,частично меблирована,21849214.0,25500000.0
2670,2-комнатная квартира,9.0,60.0,12.0,MISSING,MISSING,1993.0,MISSING,раздельный,частично меблирована,33087902.0,33000000.0
357,4-комнатная квартира,9.0,240.0,10.0,КУАT на Достык - Сатпаева,монолитный,2002.0,3.0,2 с/у и более,частично меблирована,141986880.0,120000000.0
1124,2-комнатная квартира,7.0,47.4,9.0,MISSING,MISSING,1986.0,MISSING,раздельный,частично меблирована,28542992.0,32000000.0
1266,3-комнатная квартира,3.0,67.0,3.0,MISSING,MISSING,1964.0,MISSING,раздельный,MISSING,37716670.0,32200000.0
1031,3-комнатная квартира,12.0,155.0,14.0,Арман,монолитный,2007.0,3.0,2 с/у и более,MISSING,91060440.0,90000000.0
544,1-комнатная квартира,4.0,33.3,5.0,MISSING,MISSING,1978.0,MISSING,совмещенный,полностью меблирована,25368636.0,28500000.0
1503,2-комнатная квартира,3.0,40.0,3.0,MISSING,MISSING,1958.0,2.6,совмещенный,MISSING,19615578.0,25000000.0
1454,3-комнатная квартира,2.0,123.0,3.0,Esentai City,монолитный,2017.0,3.25,2 с/у и более,пустая,96414744.0,110000000.0
4059,3-комнатная квартира,3.0,73.0,5.0,MISSING,MISSING,1991.0,MISSING,MISSING,полностью меблирована,47465044.0,49000000.0
2323,4-комнатная квартира,14.0,158.0,14.0,Central Park Residence,монолитный,2015.0,3.0,раздельный,MISSING,103711750.0,120000000.0
2990,2-комнатная квартира,1.0,56.0,6.0,Парк Горького,MISSING,2010.0,MISSING,MISSING,MISSING,29905488.0,30500000.0
1233,1-комнатная квартира,5.0,42.6,5.0,MISSING,MISSING,2009.0,2.7,совмещенный,полностью меблирована,21366558.0,18500000.0
314,2-комнатная квартира,4.0,41.0,4.0,MISSING,MISSING,1961.0,2.7,совмещенный,полностью меблирована,26031470.0,22500000.0
4017,3-комнатная квартира,3.0,120.0,4.0,MISSING,MISSING,-999.0,3.0,2 с/у и более,частично меблирована,71297010.0,80000000.0
592,2-комнатная квартира,1.0,50.0,5.0,MISSING,MISSING,1979.0,MISSING,MISSING,полностью меблирована,30646752.0,50000000.0
1306,3-комнатная квартира,4.0,67.0,5.0,MISSING,MISSING,1974.0,2.65,раздельный,MISSING,39093348.0,30000000.0
3126,3-комнатная квартира,8.0,67.5,9.0,MISSING,MISSING,-999.0,2.7,2 с/у и более,частично меблирована,41443284.0,39400000.0
277,3-комнатная квартира,1.0,63.0,4.0,MISSING,MISSING,1973.0,MISSING,совмещенный,пустая,19193026.0,30000000.0
3136,4-комнатная квартира,-999.0,132.1,-999.0,Koktobe city,монолитный,2021.0,MISSING,MISSING,MISSING,103178920.0,91180000.0
1261,4-комнатная квартира,5.0,147.2,7.0,Dostyk Residence,монолитный,2016.0,3.15,2 с/у и более,полностью меблирована,254683300.0,265000000.0
4090,2-комнатная квартира,4.0,73.0,6.0,ile de France,монолитный,2015.0,3.0,2 с/у и более,полностью меблирована,60620980.0,71500000.0
419,1-комнатная квартира,6.0,35.0,9.0,Алма Тау,MISSING,2021.0,2.6,совмещенный,полностью меблирована,16752307.0,19000000.0
3725,1-комнатная квартира,10.0,43.0,10.0,City Park,монолитный,2018.0,2.8,совмещенный,частично меблирована,27898830.0,29000000.0
1563,2-комнатная квартира,4.0,90.0,12.0,Жеруйык,монолитный,2014.0,3.0,2 с/у и более,полностью меблирована,62106840.0,88500000.0
1170,2-комнатная квартира,5.0,127.0,7.0,Пионер,монолитный,2002.0,3.0,MISSING,MISSING,87830160.0,85000000.0
769,4-комнатная квартира,1.0,210.0,3.0,Арман Вилла,кирпичный,2009.0,4.0,2 с/у и более,MISSING,275837900.0,314999999.0
1390,3-комнатная квартира,2.0,81.0,6.0,MISSING,MISSING,1986.0,MISSING,раздельный,частично меблирована,47148028.0,117000000.0
2,5-комнатная квартира,-999.0,210.8,-999.0,Esentai City,MISSING,2018.0,3.25,2 с/у и более,MISSING,191745800.0,168640000.0
3635,3-комнатная квартира,3.0,120.0,7.0,Европолис,монолитный,2012.0,3.2,2 с/у и более,полностью меблирована,88035704.0,79000000.0
2053,3-комнатная квартира,4.0,65.2,5.0,MISSING,MISSING,1974.0,2.6,совмещенный,MISSING,37890424.0,43000000.0
2516,3-комнатная квартира,1.0,170.0,8.0,Европолис,монолитный,2016.0,MISSING,2 с/у. ЖК Европолис расположен в верхней части города,MISSING,84986820.0,85000000.0
2899,2-комнатная квартира,8.0,58.0,10.0,MISSING,MISSING,2008.0,2.8,раздельный,частично меблирована,29272492.0,32000000.0
7,2-комнатная квартира,-999.0,94.4,-999.0,Exclusive Time,MISSING,2021.0,3.0,совмещенный,MISSING,55073830.0,59844219.0
109,6-комнатная квартира,4.0,366.0,4.0,ЖанЕл (КГ),кирпичный,2013.0,3.2,2 с/у и более,пустая,222074340.0,222528000.0
2780,3-комнатная квартира,2.0,95.8,13.0,Gorky Park Residence,монолитный,2008.0,2.8,совмещенный,полностью меблирована,64428980.0,50000000.0
3478,3-комнатная квартира,3.0,82.0,3.0,MISSING,MISSING,1958.0,3.2,совмещенный,MISSING,51516470.0,58000000.0
3381,2-комнатная квартира,2.0,110.0,7.0,Европолис,монолитный,2017.0,MISSING,2 с/у и более,MISSING,72257016.0,67000000.0
3827,5-комнатная квартира,1.0,272.0,8.0,Академия на Жамбыла 26,кирпичный,2003.0,3.0,2 с/у и более,полностью меблирована,257975040.0,285000000.0
295,2-комнатная квартира,3.0,89.0,5.0,MISSING,MISSING,2010.0,MISSING,2 с/у и более,MISSING,44671600.0,32000000.0
1944,1-комнатная квартира,1.0,33.0,2.0,MISSING,MISSING,-999.0,MISSING,совмещенный,полностью меблирована,17514758.0,15400000.0
3930,4-комнатная квартира,4.0,280.0,9.0,Royal,монолитный,2016.0,3.0,совмещенный,частично меблирована,254870450.0,198000000.0
726,3-комнатная квартира,2.0,74.0,9.0,MISSING,MISSING,1979.0,MISSING,раздельный,частично меблирована,41574188.0,35990000.0
255,3-комнатная квартира,5.0,110.0,5.0,MISSING,MISSING,2015.0,3.0,2 с/у и более,полностью меблирована,51082384.0,34400000.0
1373,3-комнатная квартира,3.0,71.0,12.0,Аспан Сити,монолитный,2021.0,2.7,MISSING,полностью меблирована,36078164.0,28000000.0
1138,3-комнатная квартира,4.0,85.3,5.0,MISSING,MISSING,1975.0,2.8,совмещенный,частично меблирована,53079090.0,56500000.0
1430,3-комнатная квартира,4.0,73.3,4.0,MISSING,MISSING,1960.0,3.2,раздельный,частично меблирована,48245344.0,45300000.0
2737,1-комнатная квартира,5.0,42.0,5.0,MISSING,MISSING,1978.0,MISSING,раздельный,полностью меблирована,24413058.0,22000000.0
432,3-комнатная квартира,1.0,66.0,5.0,MISSING,MISSING,1980.0,MISSING,раздельный,частично меблирована,36392628.0,36000000.0
615,4-комнатная квартира,5.0,299.0,5.0,Европолис,монолитный,2008.0,3.4,2 с/у и более,MISSING,189137810.0,200000000.0
3506,3-комнатная квартира,5.0,80.0,5.0,MISSING,MISSING,1980.0,MISSING,раздельный,частично меблирована,45487320.0,38500000.0
2277,3-комнатная квартира,5.0,80.0,5.0,MISSING,MISSING,1979.0,MISSING,раздельный,частично меблирована,46680856.0,38500000.0
2406,5-комнатная квартира,7.0,200.4,12.0,Falconcity,монолитный,2017.0,3.0,MISSING,MISSING,155002720.0,160000000.0
1374,2-комнатная квартира,1.0,52.0,2.0,MISSING,MISSING,1976.0,2.5,совмещенный,частично меблирована,20408556.0,18000000.0
3087,1-комнатная квартира,4.0,39.5,12.0,MISSING,MISSING,2021.0,2.7,совмещенный,пустая,18691908.0,30000000.0
2489,2-комнатная квартира,2.0,50.0,5.0,MISSING,MISSING,1988.0,MISSING,раздельный,MISSING,33479704.0,39500000.0
2927,2-комнатная квартира,4.0,126.0,9.0,Академия-2,монолитный,2010.0,2.8,раздельный,частично меблирована,105721450.0,120000000.0
1415,4-комнатная квартира,6.0,123.0,7.0,Сакура,монолитный,2017.0,3.3,MISSING,MISSING,80432350.0,65000000.0
3481,4-комнатная квартира,4.0,87.7,5.0,MISSING,кирпичный,1974.0,3.0,раздельный,MISSING,57503900.0,70000000.0
