index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
718,1-комнатная квартира,3.0,43.5,10.0,Alma City,монолитный,2018,2.8,MISSING,MISSING
1214,3-комнатная квартира,7.0,84.0,9.0,Хан-Тенгри,монолитный,1999,3.0,совмещенный,MISSING
1629,1-комнатная квартира,10.0,47.0,10.0,Alma City,монолитный,2019,2.8,MISSING,MISSING
817,2-комнатная квартира,6.0,71.0,9.0,MISSING,MISSING,2020,2.7,совмещенный,пустая
1732,1-комнатная квартира,8.0,41.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована
809,3-комнатная квартира,7.0,77.0,10.0,Alma City,монолитный,2019,2.8,раздельный,полностью меблирована
1011,3-комнатная квартира,3.0,88.0,10.0,Хан-Тенгри,монолитный,2015,2.9,2 с/у и более,MISSING
617,3-комнатная квартира,6.0,76.0,9.0,Шугыла,монолитный,2016,2.7,раздельный,полностью меблирована
114,3-комнатная квартира,2.0,78.0,6.0,MISSING,MISSING,2017,-999.0,совмещенный,MISSING
506,2-комнатная квартира,11.0,74.0,16.0,Премьера,MISSING,2012,2.8,2 с/у и более,частично меблирована
580,2-комнатная квартира,1.0,47.0,3.0,MISSING,MISSING,1984,2.5,совмещенный,частично меблирована
1270,2-комнатная квартира,5.0,57.5,16.0,MISSING,MISSING,MISSING,2.7,MISSING,MISSING
452,1-комнатная квартира,6.0,45.0,6.0,MISSING,MISSING,2017,2.7,совмещенный,частично меблирована
316,3-комнатная квартира,1.0,57.0,10.0,MISSING,MISSING,2017,-999.0,раздельный,полностью меблирована
1372,1-комнатная квартира,2.0,20.0,2.0,MISSING,MISSING,MISSING,2.5,совмещенный,полностью меблирована
1199,1-комнатная квартира,4.0,45.0,9.0,MISSING,MISSING,2018,-999.0,MISSING,MISSING
497,3-комнатная квартира,9.0,88.0,10.0,MISSING,MISSING,2017,-999.0,2 с/у и более,полностью меблирована
690,2-комнатная квартира,6.0,72.0,9.0,MISSING,MISSING,2010,-999.0,совмещенный,пустая
1527,2-комнатная квартира,3.0,38.0,5.0,MISSING,MISSING,1980,-999.0,совмещенный,MISSING
526,3-комнатная квартира,9.0,76.0,9.0,Шугыла,монолитный,2018,2.8,раздельный,пустая
1753,3-комнатная квартира,1.0,63.5,5.0,MISSING,MISSING,2002,2.8,раздельный,полностью меблирована
567,3-комнатная квартира,9.0,165.0,9.0,Аль-Фараби,монолитный,2012,-999.0,2 с/у и более,частично меблирована
1464,1-комнатная квартира,10.0,28.3,10.0,MISSING,MISSING,MISSING,2.7,совмещенный,полностью меблирована
1218,2-комнатная квартира,7.0,95.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,MISSING
126,3-комнатная квартира,9.0,83.0,10.0,Alma City,монолитный,2020,2.7,совмещенный,частично меблирована
296,2-комнатная квартира,9.0,64.1,10.0,MISSING,MISSING,2021,-999.0,MISSING,MISSING
1195,2-комнатная квартира,8.0,100.0,12.0,Премьера,монолитный,2012,2.7,совмещенный,частично меблирована
1241,1-комнатная квартира,2.0,10.0,2.0,MISSING,MISSING,2016,-999.0,MISSING,MISSING
1741,2-комнатная квартира,1.0,55.0,5.0,MISSING,MISSING,1979,3.1,совмещенный,полностью меблирована
1828,3-комнатная квартира,9.0,66.9,10.0,MISSING,MISSING,2011,2.8,раздельный,частично меблирована
724,2-комнатная квартира,3.0,38.0,5.0,MISSING,MISSING,1980,-999.0,совмещенный,полностью меблирована
1182,1-комнатная квартира,10.0,28.0,10.0,MISSING,MISSING,MISSING,-999.0,MISSING,MISSING
1030,1-комнатная квартира,9.0,28.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,MISSING
1878,1-комнатная квартира,2.0,14.0,4.0,MISSING,MISSING,1983,2.7,MISSING,MISSING
289,1-комнатная квартира,1.0,17.0,6.0,MISSING,MISSING,2013,-999.0,совмещенный,полностью меблирована
