index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
174,1-комнатная квартира,6.0,44.0,9.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована,17443528.0,16700000.0
161,3-комнатная квартира,8.0,76.1,9.0,MISSING,MISSING,2017,2.7,раздельный,полностью меблирована,29396486.0,31000000.0
1232,2-комнатная квартира,4.0,56.4,5.0,MISSING,MISSING,1992,2.8,раздельный,частично меблирована,20486184.0,28000000.0
1423,1-комнатная квартира,9.0,40.0,10.0,Хан-Тенгри,монолитный,2014,-999.0,раздельный,MISSING,23254360.0,23500000.0
173,1-комнатная квартира,1.0,43.5,6.0,MISSING,панельный,2014,3.0,совмещенный,полностью меблирована,15678302.0,18000000.0
554,4-комнатная квартира,2.0,137.0,4.0,Alatau Golf Residences,монолитный,2021,3.2,раздельный,пустая,68429280.0,67000000.0
638,3-комнатная квартира,1.0,68.0,6.0,MISSING,MISSING,2013,3.0,раздельный,полностью меблирована,28649064.0,27000000.0
245,1-комнатная квартира,2.0,28.0,10.0,MISSING,MISSING,2016,-999.0,совмещенный,пустая,10939646.0,10300000.0
447,2-комнатная квартира,5.0,98.0,14.0,Премьера,монолитный,2007,3.0,совмещенный,полностью меблирована,27309844.0,29000000.0
1374,1-комнатная квартира,6.0,44.0,9.0,Шугыла,монолитный,2017,-999.0,совмещенный,пустая,17946080.0,17999900.0
983,3-комнатная квартира,8.0,51.0,10.0,MISSING,MISSING,2017,2.8,совмещенный,частично меблирована,23511896.0,17500000.0
559,1-комнатная квартира,7.0,62.5,16.0,Премьера,монолитный,2012,2.8,совмещенный,полностью меблирована,21764022.0,20500000.0
1193,1-комнатная квартира,1.0,19.2,5.0,Аскар Тау,монолитный,2014,2.8,совмещенный,полностью меблирована,10648008.0,8400000.0
131,2-комнатная квартира,16.0,98.0,16.0,Премьера,монолитный,2012,2.8,совмещенный,полностью меблирована,27683946.0,24900000.0
198,1-комнатная квартира,7.0,41.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,пустая,15940216.0,16500000.0
1132,3-комнатная квартира,1.0,78.0,16.0,Gulder,монолитный,2021,2.75,2 с/у и более,пустая,35624416.0,37500000.0
1680,4-комнатная квартира,3.0,153.0,5.0,MISSING,MISSING,MISSING,-999.0,2 с/у и более,частично меблирована,59664376.0,85000000.0
1251,2-комнатная квартира,5.0,67.5,9.0,Шугыла-Сити,монолитный,2020,-999.0,совмещенный,MISSING,28366834.0,26300000.0
80,1-комнатная квартира,11.0,64.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована,20119154.0,22500000.0
1241,1-комнатная квартира,2.0,10.0,2.0,MISSING,MISSING,2016,-999.0,MISSING,MISSING,4066271.8,3900000.0
165,2-комнатная квартира,9.0,110.2,16.0,Премьера,монолитный,2012,2.8,совмещенный,частично меблирована,30696964.0,29000000.0
55,1-комнатная квартира,3.0,31.8,5.0,MISSING,MISSING,1988,-999.0,совмещенный,частично меблирована,14759646.0,13500000.0
1643,2-комнатная квартира,4.0,44.0,5.0,MISSING,MISSING,1972,-999.0,совмещенный,частично меблирована,10931549.0,18800000.0
294,1-комнатная квартира,5.0,28.0,10.0,Alma City,монолитный,2020,2.8,совмещенный,частично меблирована,13265198.0,15500000.0
201,3-комнатная квартира,4.0,90.0,9.0,MISSING,MISSING,2009,-999.0,раздельный,MISSING,34110250.0,37800000.0
194,1-комнатная квартира,7.0,43.0,10.0,MISSING,MISSING,2015,2.8,совмещенный,пустая,16688458.0,16500000.0
674,3-комнатная квартира,2.0,80.0,3.0,MISSING,MISSING,2015,3.0,2 с/у и более,полностью меблирована,33952884.0,35000000.0
1373,3-комнатная квартира,5.0,92.7,16.0,Премьера,монолитный,2014,2.73,совмещенный,частично меблирована,29353376.0,30000000.0
122,2-комнатная квартира,9.0,51.0,10.0,MISSING,MISSING,2017,2.65,MISSING,MISSING,16549059.0,14990000.0
110,3-комнатная квартира,1.0,76.0,5.0,MISSING,MISSING,1991,2.7,раздельный,MISSING,26139026.0,22000000.0
466,1-комнатная квартира,7.0,44.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована,16140909.0,16000000.0
1836,3-комнатная квартира,7.0,113.0,9.0,Аль-Фараби,монолитный,2010,2.8,2 с/у и более,полностью меблирована,57991070.0,65000000.0
816,3-комнатная квартира,2.0,74.7,5.0,MISSING,MISSING,1990,-999.0,раздельный,MISSING,25779654.0,28500000.0
653,1-комнатная квартира,1.0,40.5,9.0,Шугыла,монолитный,2018,2.75,совмещенный,частично меблирована,18910508.0,16000000.0
929,3-комнатная квартира,3.0,80.0,12.0,Gulder,монолитный,2022,3.0,MISSING,MISSING,32508864.0,31200000.0
772,1-комнатная квартира,6.0,44.0,9.0,Шугыла,монолитный,2017,2.7,совмещенный,частично меблирована,18241508.0,16700000.0
1826,2-комнатная квартира,8.0,70.0,10.0,Alma City,монолитный,2021,2.8,раздельный,MISSING,22207412.0,21300000.0
255,4-комнатная квартира,5.0,130.0,10.0,Хан-Тенгри,монолитный,2011,-999.0,2 с/у и более,частично меблирована,58524600.0,55500000.0
1001,2-комнатная квартира,6.0,71.0,9.0,MISSING,MISSING,2017,-999.0,совмещенный,MISSING,25314802.0,24500000.0
