index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
601,2-комнатная квартира,1.0,44.9,3.0,MISSING,MISSING,1965,2.7,совмещенный,частично меблирована
591,3-комнатная квартира,6.0,77.0,9.0,MISSING,MISSING,2016,-999.0,раздельный,частично меблирована
1190,2-комнатная квартира,9.0,63.4,9.0,MISSING,MISSING,2015,2.8,раздельный,частично меблирована
428,1-комнатная квартира,3.0,37.0,5.0,MISSING,MISSING,1987,-999.0,совмещенный,MISSING
240,2-комнатная квартира,2.0,39.0,2.0,MISSING,MISSING,MISSING,-999.0,совмещенный,MISSING
900,2-комнатная квартира,1.0,39.0,3.0,MISSING,MISSING,1970,2.9,совмещенный,полностью меблирована
142,3-комнатная квартира,2.0,71.4,5.0,MISSING,MISSING,2002,2.7,раздельный,полностью меблирована
270,2-комнатная квартира,12.0,50.0,13.0,Varlamova,монолитный,2017,3.0,2 с/у и более,пустая
960,1-комнатная квартира,1.0,37.0,3.0,MISSING,MISSING,1961,3.0,раздельный,частично меблирована
354,2-комнатная квартира,2.0,60.0,5.0,MISSING,MISSING,MISSING,-999.0,раздельный,полностью меблирована
24,2-комнатная квартира,2.0,45.1,3.0,MISSING,MISSING,1965,2.5,совмещенный,частично меблирована
1316,1-комнатная квартира,9.0,43.0,9.0,MISSING,MISSING,2014,2.8,совмещенный,полностью меблирована
269,2-комнатная квартира,2.0,35.0,2.0,MISSING,MISSING,1970,2.7,совмещенный,частично меблирована
1086,2-комнатная квартира,2.0,52.7,5.0,MISSING,MISSING,1990,2.8,раздельный,частично меблирована
176,1-комнатная квартира,5.0,39.0,9.0,PARASAT,монолитный,2020,2.75,MISSING,MISSING
1061,1-комнатная квартира,1.0,40.0,5.0,MISSING,MISSING,2017,2.7,совмещенный,частично меблирована
568,2-комнатная квартира,7.0,68.8,9.0,MISSING,монолитный,2008,2.7,раздельный,частично меблирована
763,1-комнатная квартира,2.0,35.0,5.0,MISSING,MISSING,1997,2.7,совмещенный,частично меблирована
346,2-комнатная квартира,2.0,36.1,2.0,MISSING,MISSING,1961,-999.0,совмещенный,частично меблирована
440,1-комнатная квартира,1.0,17.8,2.0,MISSING,MISSING,MISSING,2.8,совмещенный,пустая
672,3-комнатная квартира,1.0,63.0,5.0,MISSING,MISSING,1985,3.0,раздельный,частично меблирована
122,3-комнатная квартира,6.0,77.0,9.0,MISSING,MISSING,2016,-999.0,раздельный,частично меблирована
259,1-комнатная квартира,1.0,44.0,9.0,MISSING,монолитный,2016,-999.0,совмещенный,пустая
865,2-комнатная квартира,3.0,43.8,3.0,MISSING,MISSING,1965,-999.0,совмещенный,пустая
1374,2-комнатная квартира,1.0,44.5,2.0,MISSING,MISSING,MISSING,2.75,совмещенный,MISSING
1005,2-комнатная квартира,1.0,40.0,2.0,MISSING,MISSING,MISSING,2.5,совмещенный,полностью меблирована
940,3-комнатная квартира,5.0,76.0,5.0,MISSING,MISSING,2018,2.8,раздельный,MISSING
1077,1-комнатная квартира,2.0,45.2,9.0,MISSING,панельный,2017,2.8,совмещенный,частично меблирована
1345,3-комнатная квартира,4.0,85.0,9.0,MISSING,MISSING,2017,-999.0,2 с/у и более,MISSING
15,1-комнатная квартира,2.0,44.0,5.0,MISSING,MISSING,MISSING,2.8,совмещенный,MISSING
1354,3-комнатная квартира,3.0,63.0,4.0,MISSING,кирпичный,1972,-999.0,раздельный,частично меблирована
501,2-комнатная квартира,2.0,45.0,4.0,MISSING,MISSING,MISSING,2.5,раздельный,полностью меблирована
1376,2-комнатная квартира,3.0,41.0,3.0,MISSING,MISSING,1969,-999.0,совмещенный,MISSING
230,2-комнатная квартира,1.0,50.6,5.0,MISSING,MISSING,1985,2.7,раздельный,MISSING
341,3-комнатная квартира,2.0,80.0,5.0,MISSING,MISSING,1994,-999.0,раздельный,полностью меблирована
942,1-комнатная квартира,5.0,45.0,5.0,MISSING,монолитный,2017,3.0,совмещенный,частично меблирована
327,1-комнатная квартира,2.0,37.0,5.0,MISSING,MISSING,1987,2.8,совмещенный,полностью меблирована
138,2-комнатная квартира,2.0,41.3,2.0,MISSING,MISSING,MISSING,2.8,совмещенный,MISSING
1131,1-комнатная квартира,7.0,44.0,9.0,MISSING,MISSING,2016,-999.0,совмещенный,частично меблирована
724,2-комнатная квартира,2.0,57.0,5.0,MISSING,MISSING,1987,-999.0,раздельный,полностью меблирована
46,2-комнатная квартира,2.0,59.5,5.0,MISSING,MISSING,MISSING,2.2,совмещенный,MISSING
334,1-комнатная квартира,2.0,38.9,6.0,MISSING,MISSING,2008,2.8,совмещенный,частично меблирована
881,1-комнатная квартира,5.0,28.3,10.0,Теремки,монолитный,2021,-999.0,MISSING,MISSING
398,1-комнатная квартира,1.0,32.9,3.0,MISSING,MISSING,1983,2.7,совмещенный,частично меблирована
7,3-комнатная квартира,-999.0,66.6,-999.0,Gres Park,MISSING,"3 этажа, 2021",2.75,совмещенный,MISSING
162,1-комнатная квартира,2.0,19.0,2.0,MISSING,MISSING,1968,2.8,MISSING,пустая
510,2-комнатная квартира,5.0,43.0,5.0,MISSING,MISSING,1989,2.8,раздельный,пустая
906,2-комнатная квартира,6.0,52.0,10.0,Теремки,монолитный,2022,2.8,совмещенный,пустая
135,2-комнатная квартира,1.0,40.0,3.0,MISSING,MISSING,1960,3.0,совмещенный,частично меблирована
384,1-комнатная квартира,5.0,47.3,9.0,Теремки,монолитный,2021,2.7,MISSING,MISSING
227,2-комнатная квартира,1.0,48.0,2.0,MISSING,MISSING,1954,-999.0,совмещенный,полностью меблирована
1329,3-комнатная квартира,4.0,86.0,5.0,MISSING,MISSING,1993,2.9,раздельный,частично меблирована
357,2-комнатная квартира,5.0,51.0,5.0,MISSING,MISSING,1988,-999.0,раздельный,частично меблирована
1120,2-комнатная квартира,5.0,52.0,5.0,MISSING,MISSING,MISSING,3.0,раздельный,MISSING
437,2-комнатная квартира,2.0,54.5,5.0,MISSING,MISSING,2015,2.7,совмещенный,полностью меблирована
449,2-комнатная квартира,2.0,37.6,2.0,MISSING,MISSING,1970,2.7,совмещенный,MISSING
133,3-комнатная квартира,1.0,53.0,3.0,MISSING,MISSING,1961,2.5,совмещенный,частично меблирована
