index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
1348,1-комнатная квартира,5.0,33.0,5.0,MISSING,MISSING,1992,-999.0,MISSING,MISSING,14195930.0,11800000.0
1291,2-комнатная квартира,2.0,35.9,2.0,MISSING,MISSING,MISSING,2.7,совмещенный,частично меблирована,11021437.0,13000000.0
730,2-комнатная квартира,3.0,42.0,5.0,MISSING,MISSING,1985,2.8,раздельный,частично меблирована,18748566.0,18500000.0
93,2-комнатная квартира,1.0,24.4,2.0,MISSING,MISSING,MISSING,2.7,раздельный,полностью меблирована,7563785.0,10400000.0
103,2-комнатная квартира,5.0,44.5,5.0,MISSING,MISSING,1989,2.2,раздельный,частично меблирована,17419554.0,17000000.0
1373,2-комнатная квартира,1.0,56.0,5.0,MISSING,MISSING,1987,2.8,раздельный,MISSING,21037086.0,15500000.0
1167,1-комнатная квартира,1.0,37.0,5.0,MISSING,MISSING,1988,-999.0,совмещенный,частично меблирована,15479292.0,15000000.0
916,2-комнатная квартира,3.0,52.4,3.0,MISSING,кирпичный,1978,2.7,раздельный,полностью меблирована,23678682.0,20000000.0
640,1-комнатная квартира,4.0,40.0,5.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована,16256185.0,12999999.0
109,2-комнатная квартира,5.0,61.0,6.0,MISSING,MISSING,2007,-999.0,раздельный,MISSING,21968144.0,23500000.0
971,2-комнатная квартира,4.0,45.0,5.0,MISSING,MISSING,1990,2.8,раздельный,частично меблирована,16895332.0,21000000.0
762,3-комнатная квартира,1.0,60.0,4.0,MISSING,MISSING,1999,-999.0,раздельный,MISSING,24976500.0,26500000.0
335,2-комнатная квартира,4.0,42.0,5.0,MISSING,MISSING,1985,-999.0,совмещенный,MISSING,17981022.0,26000000.0
148,3-комнатная квартира,2.0,70.0,2.0,MISSING,MISSING,1970,2.7,совмещенный,частично меблирована,25188744.0,23000000.0
853,2-комнатная квартира,3.0,42.0,3.0,MISSING,MISSING,1963,-999.0,совмещенный,MISSING,15105875.0,14500000.0
54,3-комнатная квартира,4.0,68.0,4.0,MISSING,MISSING,1973,2.5,раздельный,полностью меблирована,24973720.0,29500000.0
14,1-комнатная квартира,-999.0,41.7,-999.0,Gres Park,MISSING,"3 этажа, 2021",2.75,совмещенный,MISSING,11532974.0,10008000.0
860,1-комнатная квартира,2.0,32.4,4.0,MISSING,MISSING,1968,-999.0,совмещенный,пустая,11738120.0,13000000.0
51,2-комнатная квартира,2.0,58.6,5.0,MISSING,MISSING,MISSING,2.7,раздельный,частично меблирована,21534758.0,22000000.0
976,1-комнатная квартира,3.0,33.0,3.0,MISSING,MISSING,1965,2.5,совмещенный,частично меблирована,14159572.0,12500000.0
18,4-комнатная квартира,-999.0,106.0,-999.0,MISSING,MISSING,2019,2.9,2 с/у и более,MISSING,26586500.0,25750000.0
856,1-комнатная квартира,5.0,40.0,9.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована,16666679.0,14500000.0
1280,3-комнатная квартира,8.0,68.0,9.0,PARASAT,монолитный,2020,2.7,раздельный,частично меблирована,32903102.0,31500000.0
208,3-комнатная квартира,5.0,71.6,5.0,MISSING,MISSING,1994,2.75,раздельный,MISSING,26517926.0,26500000.0
897,1-комнатная квартира,3.0,39.0,5.0,MISSING,MISSING,2007,2.7,совмещенный,полностью меблирована,15932371.0,16000000.0
195,2-комнатная квартира,1.0,51.0,1.0,MISSING,MISSING,1964,3.0,совмещенный,MISSING,17325408.0,15000000.0
469,2-комнатная квартира,5.0,60.0,6.0,MISSING,MISSING,2007,-999.0,раздельный,MISSING,21066310.0,22400000.0
636,2-комнатная квартира,4.0,51.0,5.0,MISSING,MISSING,1988,2.8,раздельный,частично меблирована,20474510.0,21500000.0
1282,3-комнатная квартира,5.0,77.5,5.0,MISSING,MISSING,2006,-999.0,раздельный,MISSING,24819734.0,24000000.0
