number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2-комнатная квартира,16947650.0,,50.59,,Аккент,,2021.0,2.6,совмещенный,
2-комнатная квартира,22500000.0,7.0,67.0,9.0,,,2012.0,2.8,раздельный,частично меблирована
1-комнатная квартира,18800000.0,1.0,38.0,12.0,Алмалы,монолитный,2018.0,2.8,,
1-комнатная квартира,18000000.0,2.0,45.0,9.0,Аккент,монолитный,2010.0,2.7,совмещенный,полностью меблирована
1-комнатная квартира,7500000.0,2.0,20.0,4.0,,,2000.0,2.8,,
1-комнатная квартира,8000000.0,2.0,25.0,4.0,,,2000.0,2.8,,
1-комнатная квартира,7500000.0,4.0,25.0,4.0,,,2000.0,2.8,,
2-комнатная квартира,17500000.0,1.0,64.0,9.0,,монолитный,2014.0,,совмещенный,частично меблирована
2-комнатная квартира,26500000.0,5.0,55.2,5.0,,,1993.0,2.8,раздельный,полностью меблирована
2-комнатная квартира,17000000.0,1.0,52.0,2.0,,,,2.9,,частично меблирована
2-комнатная квартира,25400000.0,3.0,57.0,8.0,Athletic village,монолитный,2017.0,2.7,совмещенный,частично меблирована
3-комнатная квартира,30100000.0,8.0,87.0,9.0,,,2017.0,,раздельный,
1-комнатная квартира,16700000.0,11.0,37.0,12.0,Алмалы,монолитный,2018.0,,совмещенный,
2-комнатная квартира,27000000.0,9.0,66.0,9.0,,,,,раздельный,
3-комнатная квартира,31000000.0,,75.0,,,,,3.0,2 с/у и более,
1-комнатная квартира,18500000.0,9.0,45.3,10.0,Аккент,монолитный,2010.0,2.6,совмещенный,полностью меблирована
1-комнатная квартира,15500000.0,2.0,37.0,12.0,Алмалы,,2021.0,,,
1-комнатная квартира,16700000.0,11.0,37.0,12.0,Алмалы,монолитный,2016.0,2.7,совмещенный,
3-комнатная квартира,35000000.0,2.0,70.5,9.0,Alatau City,монолитный,2021.0,2.8,раздельный,
2-комнатная квартира,22900000.0,9.0,60.0,9.0,,,2011.0,,раздельный,
1-комнатная квартира,14600000.0,4.0,39.0,5.0,,,2013.0,,совмещенный,частично меблирована
1-комнатная квартира,14200000.0,5.0,25.0,10.0,Акниет,монолитный,2018.0,2.8,совмещенный,
2-комнатная квартира,14500000.0,1.0,48.5,2.0,,,,2.8,раздельный,полностью меблирована
2-комнатная квартира,23400000.0,10.0,54.0,12.0,Alatau City,монолитный,2018.0,2.7,совмещенный,
1-комнатная квартира,15559000.0,4.0,45.0,6.0,Лотос,монолитный,2022.0,2.7,совмещенный,
3-комнатная квартира,25090000.0,,77.2,,Аккент,,2021.0,2.6,совмещенный,
1-комнатная квартира,16700000.0,11.0,37.0,12.0,Алмалы,монолитный,2016.0,,совмещенный,
1-комнатная квартира,24500000.0,14.0,40.0,15.0,Алмалы,,2019.0,,совмещенный,полностью меблирована
1-комнатная квартира,17000000.0,8.0,45.1,9.0,,,2010.0,,совмещенный,
3-комнатная квартира,27000000.0,3.0,83.0,9.0,Аккент,монолитный,2010.0,2.6,раздельный,частично меблирована
3-комнатная квартира,34999999.0,8.0,90.0,9.0,Аккент,,2010.0,2.65,2 с/у и более,полностью меблирована
3-комнатная квартира,19660000.0,,75.6,,,,2021.0,3.0,,
2-комнатная квартира,12320000.0,,47.4,,,,2021.0,3.0,,
1-комнатная квартира,9230000.0,2.0,35.5,2.0,,,2021.0,3.0,,
1-комнатная квартира,10174050.0,,29.49,,Аккент,,2021.0,2.6,совмещенный,
2-комнатная квартира,25000000.0,10.0,54.5,12.0,Alatau City,монолитный,2018.0,2.7,совмещенный,частично меблирована
2-комнатная квартира,8500000.0,2.0,24.1,2.0,,,1960.0,2.65,,
2-комнатная квартира,21500000.0,2.0,67.0,9.0,Нуркент,монолитный,2014.0,3.0,совмещенный,частично меблирована
2-комнатная квартира,25000000.0,3.0,70.0,5.0,,,,,,
1-комнатная квартира,11500000.0,5.0,30.0,9.0,Аккент,монолитный,2017.0,,совмещенный,пустая
1-комнатная квартира,13500000.0,1.0,31.0,4.0,,,2017.0,,совмещенный,частично меблирована
2-комнатная квартира,28900000.0,2.0,69.0,9.0,,,2009.0,2.8,раздельный,полностью меблирована
2-комнатная квартира,23800000.0,9.0,66.0,9.0,Аккент,монолитный,2010.0,2.6,совмещенный,полностью меблирована
3-комнатная квартира,36700000.0,2.0,87.1,9.0,,,2011.0,2.7,раздельный,частично меблирована
3-комнатная квартира,27000000.0,3.0,84.0,9.0,,,2014.0,2.7,раздельный,
1-комнатная квартира,17000000.0,8.0,45.0,9.0,,,2010.0,,совмещенный,
2-комнатная квартира,18500000.0,2.0,46.0,5.0,,,2018.0,,совмещенный,
1-комнатная квартира,21000000.0,6.0,52.0,9.0,,,2006.0,2.8,раздельный,полностью меблирована
2-комнатная квартира,27000000.0,1.0,62.0,9.0,,,2010.0,3.2,совмещенный,полностью меблирована
1-комнатная квартира,15057250.0,,46.33,,Аккент,,,2.6,совмещенный,
2-комнатная квартира,20800000.0,4.0,60.0,5.0,,,2011.0,,раздельный,пустая
3-комнатная квартира,30000000.0,1.0,95.0,9.0,,,2010.0,,раздельный,частично меблирована
2-комнатная квартира,22000000.0,9.0,60.0,9.0,,,2011.0,,раздельный,частично меблирована
2-комнатная квартира,7999999.0,2.0,42.0,2.0,,,,,раздельный,
2-комнатная квартира,23000000.0,9.0,60.0,9.0,,,2011.0,,,
2-комнатная квартира,23500000.0,8.0,69.0,12.0,,,2017.0,,раздельный,
3-комнатная квартира,32000000.0,3.0,82.0,16.0,Аккент,монолитный,2016.0,2.6,2 с/у и более,полностью меблирована
2-комнатная квартира,20300000.0,2.0,58.0,6.0,,,2021.0,2.79,совмещенный,пустая
1-комнатная квартира,12565000.0,3.0,35.0,6.0,,,2021.0,2.8,совмещенный,пустая
1-комнатная квартира,16500000.0,10.0,37.0,12.0,Алмалы,монолитный,2016.0,2.7,совмещенный,
2-комнатная квартира,11600000.0,2.0,36.8,2.0,,,1972.0,,,
1-комнатная квартира,22000000.0,14.0,45.0,14.0,Athletic village,монолитный,2017.0,2.8,,частично меблирована
1-комнатная квартира,22000000.0,12.0,35.0,13.0,Алмалы,панельный,2020.0,3.0,совмещенный,полностью меблирована
1-комнатная квартира,16000000.0,3.0,34.6,7.0,Северное кольцо,монолитный,2015.0,2.7,совмещенный,
3-комнатная квартира,26000000.0,1.0,70.0,12.0,Alatau City,монолитный,2017.0,,совмещенный,частично меблирована
1-комнатная квартира,13900000.0,2.0,39.0,5.0,,,2015.0,,совмещенный,частично меблирована
1-комнатная квартира,19500000.0,3.0,46.0,9.0,,,2010.0,2.7,,
2-комнатная квартира,22500000.0,5.0,65.0,5.0,ЖК в мкр. Саялы,монолитный,2016.0,2.7,раздельный,частично меблирована
2-комнатная квартира,21500000.0,1.0,67.0,5.0,,,2016.0,2.8,раздельный,частично меблирована
2-комнатная квартира,27000000.0,3.0,55.8,9.0,На Бокеева,,2018.0,2.6,совмещенный,частично меблирована
