number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,21702720.0,,48.1,,Nomad 2,,,2.7,2 с/у и более,
2-комнатная квартира,34000000.0,4.0,55.0,4.0,,,1972.0,2.8,,полностью меблирована
3-комнатная квартира,59983000.0,,109.06,,LakeTown,,,2.7,2 с/у и более,
3-комнатная квартира,30500000.0,3.0,70.0,5.0,,,1995.0,,раздельный,частично меблирована
3-комнатная квартира,37000000.0,2.0,67.0,13.0,Atlant,монолитный,2020.0,2.8,совмещенный,частично меблирована
1-комнатная квартира,23490000.0,11.0,38.5,12.0,SIRIUS,монолитный,2021.0,3.2,совмещенный,пустая
2-комнатная квартира,35500000.0,5.0,56.0,9.0,,,1993.0,,раздельный,полностью меблирована
2-комнатная квартира,31000000.0,5.0,57.0,8.0,,,1977.0,2.8,раздельный,полностью меблирована
1-комнатная квартира,17800000.0,2.0,33.6,4.0,,,1970.0,2.8,совмещенный,
5-комнатная квартира,50000000.0,4.0,93.5,9.0,,,,2.6,2 с/у и более,частично меблирована
3-комнатная квартира,28000000.0,4.0,65.0,5.0,,,1977.0,,раздельный,
4-комнатная квартира,60446750.0,,132.85,,LakeTown,,,2.7,2 с/у и более,
2-комнатная квартира,36300000.0,2.0,50.0,2.0,,,1957.0,3.0,совмещенный,частично меблирована
2-комнатная квартира,21973440.0,,48.7,,Nomad 2,,,2.7,совмещенный,
2-комнатная квартира,29900000.0,2.0,53.0,5.0,,,1983.0,,раздельный,пустая
4-комнатная квартира,42000000.0,2.0,90.0,5.0,,,1983.0,,,
3-комнатная квартира,42000000.0,2.0,90.0,5.0,,,1983.0,,,
4-комнатная квартира,93000000.0,3.0,132.0,21.0,Столичный Центр,монолитный,2004.0,3.0,2 с/у и более,частично меблирована
3-комнатная квартира,29000000.0,1.0,69.0,5.0,,,1991.0,,раздельный,частично меблирована
2-комнатная квартира,33900000.0,5.0,63.0,6.0,,,1976.0,2.85,совмещенный,частично меблирована
1-комнатная квартира,27500000.0,1.0,32.0,4.0,,,1966.0,,,
3-комнатная квартира,62799000.0,,114.18,,LakeTown,,,2.7,2 с/у и более,
4-комнатная квартира,43500000.0,5.0,92.0,5.0,,,1993.0,,раздельный,
2-комнатная квартира,21500000.0,5.0,48.0,5.0,,,1987.0,2.0,совмещенный,
4-комнатная квартира,35500000.0,5.0,90.0,5.0,,,1988.0,,раздельный,частично меблирована
1-комнатная квартира,20500000.0,4.0,37.0,8.0,,,1977.0,,совмещенный,частично меблирована
1-комнатная квартира,28263400.0,,48.73,,LakeTown,,,2.7,совмещенный,
2-комнатная квартира,22108800.0,,49.0,,Nomad 2,,,2.7,совмещенный,
1-комнатная квартира,22500000.0,4.0,35.0,5.0,,,1989.0,2.7,совмещенный,частично меблирована
3-комнатная квартира,46000000.0,9.0,73.6,15.0,Многофункциональный жилой комплекс Евразия,монолитный,2015.0,2.75,совмещенный,полностью меблирована
2-комнатная квартира,24199910.0,1.0,54.0,5.0,,,1980.0,,раздельный,частично меблирована
2-комнатная квартира,29925100.0,,51.6,,LakeTown,,,2.7,совмещенный,
2-комнатная квартира,26500000.0,5.0,52.0,7.0,,,1982.0,,раздельный,
3-комнатная квартира,27500000.0,2.0,60.0,5.0,,,1980.0,2.6,раздельный,частично меблирована
1-комнатная квартира,55000000.0,6.0,50.9,12.0,Exclusive Life,монолитный,2019.0,3.0,совмещенный,полностью меблирована
4-комнатная квартира,165000000.0,11.0,179.5,12.0,Exclusive Life,монолитный,2019.0,3.0,2 с/у и более,пустая
2-комнатная квартира,39484500.0,,71.79,,LakeTown,,,2.7,совмещенный,
2-комнатная квартира,23328000.0,,54.0,,Nomad 2,,,2.7,совмещенный,
2-комнатная квартира,20400000.0,5.0,51.0,5.0,,,1978.0,,совмещенный,частично меблирована
4-комнатная квартира,61360000.0,9.0,104.0,13.0,,,2020.0,3.0,,
4-комнатная квартира,67980000.0,5.0,113.3,10.0,Nur-Ay Residence,монолитный,2021.0,,,
2-комнатная квартира,37660000.0,4.0,53.8,10.0,Nur-Ay Residence,монолитный,2021.0,3.0,,
2-комнатная квартира,29100000.0,5.0,48.5,13.0,Double Star,монолитный,2021.0,,,
3-комнатная квартира,35712000.0,7.0,76.8,17.0,Assem Plaza,монолитный,2021.0,3.0,,
3-комнатная квартира,44400000.0,12.0,88.8,17.0,Assem Plaza,монолитный,2021.0,3.0,,
2-комнатная квартира,35640000.0,17.0,59.4,17.0,Assem Plaza,монолитный,2021.0,,,
4-комнатная квартира,66960000.0,7.0,108.0,10.0,Nur-Ay Residence,монолитный,2021.0,,,
3-комнатная квартира,54948000.0,4.0,96.4,13.0,Double Star,монолитный,2021.0,3.0,,
2-комнатная квартира,41030000.0,,74.6,,LakeTown,,,2.7,раздельный,
1-комнатная квартира,18300000.0,5.0,33.0,5.0,,,1982.0,,совмещенный,частично меблирована
3-комнатная квартира,24500000.0,4.0,66.0,5.0,,,1975.0,,раздельный,частично меблирована
1-комнатная квартира,21800000.0,6.0,40.5,9.0,,,1980.0,,совмещенный,частично меблирована
