number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2-комнатная квартира,28700000.0,,57.4,,Rams city,,2023.0,2.7,совмещенный,
3-комнатная квартира,65000000.0,,100.0,,Grande vie,,2022.0,3,2 с/у и более,
1-комнатная квартира,43996400.0,,66.16,,Jer-Ana Residence,,2022.0,3,раздельный,
4-комнатная квартира,63900800.0,,121.6,,Сакура,,2020.0,3.3,2 с/у и более,
3-комнатная квартира,83835000.0,,121.5,,Венский дом,,2018.0,3.15,2 с/у и более,
3-комнатная квартира,70000000.0,4.0,120.0,4.0,Батыр,кирпичный,2008.0,2.7,2 с/у и более,частично меблирована
3-комнатная квартира,36936000.0,,91.2,,ALMA VILLA,,2022.0,3.15,раздельный,
3-комнатная квартира,62855000.0,,96.7,,Hayat Park,,2021.0,3.3,2 с/у и более,
2-комнатная квартира,49750218.0,,80.0,,4YOU,,2022.0,2.7,совмещенный,
2-комнатная квартира,33463000.0,,61.4,,Дом на Гагарина,,2019.0,2.7,совмещенный,
3-комнатная квартира,33000000.0,1.0,62.0,4.0,,,1972.0,2.5,раздельный,частично меблирована
2-комнатная квартира,20400000.0,2.0,43.0,5.0,,,1975.0,,совмещенный,частично меблирована
3-комнатная квартира,28000000.0,1.0,58.0,5.0,,,1976.0,2.5,раздельный,частично меблирована
2-комнатная квартира,27500000.0,11.0,52.2,13.0,,,2013.0,2.7,совмещенный,
3-комнатная квартира,90000000.0,8.0,115.0,19.0,Apple Town,,2012.0,3,2 с/у и более,частично меблирована
3-комнатная квартира,39852000.0,,98.4,,ALMA VILLA,,2022.0,3.15,раздельный,
3-комнатная квартира,75400000.0,,116.0,,Hayat Park,,2021.0,3.3,2 с/у и более,
2-комнатная квартира,53684400.0,,69.0,,4YOU,,2022.0,2.7,совмещенный,
1-комнатная квартира,33986200.0,,62.36,,Дом на Гагарина,,2019.0,2.7,совмещенный,
3-комнатная квартира,28800000.0,3.0,63.0,5.0,,,1973.0,,раздельный,частично меблирована
2-комнатная квартира,24500000.0,1.0,43.5,5.0,,панельный,1977.0,,раздельный,полностью меблирована
2-комнатная квартира,28000000.0,20.0,60.0,20.0,Айгерим,монолитный,2012.0,2.7,совмещенный,полностью меблирована
3-комнатная квартира,35000000.0,3.0,63.0,4.0,,,1972.0,,совмещенный,полностью меблирована
1-комнатная квартира,27000000.0,20.0,60.0,20.0,Айгерим,монолитный,2012.0,2.7,совмещенный,
2-комнатная квартира,35000000.0,1.0,61.0,5.0,,,1963.0,2.7,раздельный,пустая
3-комнатная квартира,67500000.0,3.0,138.8,5.0,Талисман,монолитный,2007.0,3,2 с/у и более,частично меблирована
1-комнатная квартира,18832500.0,,46.5,,ALMA VILLA,,2022.0,3.15,совмещенный,
