number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,14200000.0,3.0,34.0,5.0,,,1986.0,2.8,совмещенный,частично меблирована
1-комнатная квартира,17000000.0,1.0,42.0,5.0,,,1985.0,,совмещенный,частично меблирована
2-комнатная квартира,26000000.0,7.0,56.0,10.0,Максима на Райымбека,монолитный,2007.0,2.7,раздельный,полностью меблирована
3-комнатная квартира,23755555.0,1.0,59.3,2.0,,,,2.8,совмещенный,частично меблирована
3-комнатная квартира,22500000.0,4.0,58.0,4.0,,,1969.0,2.8,раздельный,
5-комнатная квартира,30000000.0,,120.0,,,,1986.0,3.0,2 с/у и более,частично меблирована
1-комнатная квартира,16200000.0,1.0,59.0,3.0,,,1983.0,3.0,совмещенный,полностью меблирована
2-комнатная квартира,22500000.0,2.0,65.0,6.0,,,2009.0,2.7,раздельный,частично меблирована
2-комнатная квартира,23000000.0,6.0,65.0,6.0,,,2009.0,2.8,раздельный,полностью меблирована
2-комнатная квартира,24000000.0,3.0,61.0,5.0,,,1988.0,,раздельный,полностью меблирована
3-комнатная квартира,40000000.0,2.0,93.2,9.0,Максима на Райымбека,кирпичный,2006.0,,2 с/у и более,частично меблирована
3-комнатная квартира,22000000.0,5.0,68.0,5.0,,,1989.0,,,
1-комнатная квартира,13000000.0,1.0,33.0,5.0,,,1982.0,,совмещенный,полностью меблирована
4-комнатная квартира,32000000.0,5.0,88.1,5.0,,,1990.0,2.8,раздельный,
1-комнатная квартира,13000000.0,1.0,33.0,5.0,,,1982.0,,раздельный,частично меблирована
1-комнатная квартира,7500000.0,3.0,26.0,3.0,,,1979.0,3.0,раздельный,полностью меблирована
1-комнатная квартира,16500000.0,9.0,47.5,9.0,,,2007.0,,совмещенный,
1-комнатная квартира,15000000.0,1.0,39.0,5.0,,,1987.0,2.8,совмещенный,частично меблирована
1-комнатная квартира,13000000.0,5.0,30.0,5.0,,,2012.0,,совмещенный,частично меблирована
2-комнатная квартира,20500000.0,3.0,52.0,3.0,,,1975.0,2.85,раздельный,частично меблирована
3-комнатная квартира,25000000.0,6.0,108.0,6.0,,,,,раздельный,частично меблирована
3-комнатная квартира,34200000.0,9.0,94.0,10.0,,,2006.0,,раздельный,полностью меблирована
2-комнатная квартира,23000000.0,6.0,60.0,6.0,,,2009.0,2.8,раздельный,полностью меблирована
3-комнатная квартира,26000000.0,1.0,65.0,5.0,,,1985.0,,раздельный,пустая
3-комнатная квартира,26500000.0,8.0,74.2,8.0,,,,2.8,совмещенный,полностью меблирована
3-комнатная квартира,29000000.0,4.0,77.0,5.0,,,2007.0,,раздельный,полностью меблирована
2-комнатная квартира,20500000.0,6.0,75.4,6.0,,,2008.0,2.8,раздельный,частично меблирована
3-комнатная квартира,24000000.0,10.0,75.0,10.0,Максима на Райымбека,монолитный,2007.0,2.7,раздельный,частично меблирована
4-комнатная квартира,35000000.0,2.0,252.0,2.0,,,1970.0,2.8,,
