number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
4-комнатная квартира,81180000.0,,164.0,,Parmigiano Country Club,,2022.0,3.0,2 с/у и более,
1-комнатная квартира,36400000.0,,41.2,,La Verde,,2022.0,3.0,совмещенный,
5-комнатная квартира,168640000.0,,210.8,,Esentai City,,2018.0,3.25,2 с/у и более,
5-комнатная квартира,287250000.0,,383.0,,Silverwood,,2021.0,3.6,2 с/у и более,
3-комнатная квартира,98800000.0,,152.0,,Beilgravia Villas Almaty,,2022.0,5.0,2 с/у и более,
5-комнатная квартира,350000000.0,,350.0,,Beverly Hills,,2022.0,3.3,2 с/у и более,
2-комнатная квартира,17236000.0,,55.6,,Dostar,,2022.0,2.7,раздельный,
2-комнатная квартира,59844219.0,,94.4,,Exclusive Time,,2021.0,3.0,совмещенный,
2-комнатная квартира,76942000.0,,124.1,,Тау Шатыр,,2017.0,3.8,совмещенный,
4-комнатная квартира,141040000.0,,328.0,,BlackBerry Hills,,2020.0,3.5,2 с/у и более,
3-комнатная квартира,73639200.0,,100.6,,Koktobe city,,2021.0,3.0,2 с/у и более,
8-комнатная квартира,230000000.0,3.0,433.0,5.0,Кокше,монолитный,2011.0,3.2,,
4-комнатная квартира,120000000.0,11.0,150.0,14.0,КУАТ на Барибаева - Гоголя,монолитный,2004.0,2.9,2 с/у и более,полностью меблирована
2-комнатная квартира,58989000.0,,84.27,,Gorny Hills,,2021.0,3.0,совмещенный,
4-комнатная квартира,113100000.0,,174.0,,Beilgravia Villas Almaty,,2022.0,5.0,2 с/у и более,
5-комнатная квартира,390000000.0,,390.0,,Beverly Hills,,2022.0,3.3,2 с/у и более,
2-комнатная квартира,17267000.0,,55.7,,Dostar,,2022.0,2.7,раздельный,
2-комнатная квартира,61382133.0,,94.3,,Exclusive Time,,2021.0,3.0,совмещенный,
3-комнатная квартира,103664000.0,,167.2,,Тау Шатыр,,2017.0,3.8,2 с/у и более,
4-комнатная квартира,154440000.0,,312.0,,BlackBerry Hills,,2021.0,3.5,2 с/у и более,
3-комнатная квартира,74469219.0,,99.26,,Koktobe city,,2023.0,3.0,2 с/у и более,
6-комнатная квартира,270000000.0,2.0,235.0,3.0,Esentai City,,2018.0,3.3,2 с/у и более,
4-комнатная квартира,60000000.0,3.0,103.0,5.0,,,1972.0,,2 с/у и более,полностью меблирована
5-комнатная квартира,135000000.0,13.0,257.0,14.0,Central Park Residence,монолитный,2016.0,3.0,раздельный,
4-комнатная квартира,82665000.0,,167.0,,Parmigiano Country Club,,2022.0,3.0,2 с/у и более,
1-комнатная квартира,38000000.0,,42.7,,La Verde,,2022.0,3.0,совмещенный,
5-комнатная квартира,171810000.0,,190.9,,Esentai City,,2018.0,3.25,2 с/у и более,
4-комнатная квартира,164250000.0,,219.0,,Silverwood,,2021.0,3.6,совмещенный,
5-комнатная квартира,160000000.0,1.0,224.6,7.0,Dostyk Residence,монолитный,2017.0,3.15,,
5-комнатная квартира,228150000.0,,351.0,,Beilgravia Villas Almaty,,2022.0,5.0,2 с/у и более,
3-комнатная квартира,67954250.0,,103.0,,Exclusive Time,,2021.0,3.0,2 с/у и более,
3-комнатная квартира,23498000.0,,75.8,,Dostar,,2022.0,2.7,раздельный,
2-комнатная квартира,52886000.0,,85.3,,Тау Шатыр,,2017.0,3.8,совмещенный,
5-комнатная квартира,207405000.0,,419.0,,BlackBerry Hills,,2021.0,3.5,2 с/у и более,
4-комнатная квартира,96829300.0,,132.1,,Koktobe city,,2021.0,3.0,2 с/у и более,
1-комнатная квартира,18300000.0,3.0,30.0,5.0,,,1977.0,2.8,совмещенный,полностью меблирована
2-комнатная квартира,33500000.0,3.0,87.6,5.0,,,2009.0,,2 с/у и более,
1-комнатная квартира,11200000.0,4.0,24.3,9.0,Vostochka.kz,монолитный,2021.0,2.7,совмещенный,пустая
3-комнатная квартира,89050000.0,,137.0,,Beilgravia Villas Almaty,,2022.0,5.0,2 с/у и более,
1-комнатная квартира,11051500.0,,35.65,,Dostar,,2022.0,2.7,раздельный,
3-комнатная квартира,72708210.0,,111.7,,Exclusive Time,,2021.0,3.0,2 с/у и более,
2-комнатная квартира,70308000.0,,113.4,,Тау Шатыр,,2017.0,3.8,совмещенный,
6-комнатная квартира,221760000.0,,448.0,,BlackBerry Hills,,2021.0,3.5,2 с/у и более,
4-комнатная квартира,98098000.0,,137.2,,Koktobe city,,2021.0,3.0,2 с/у и более,
4-комнатная квартира,155000000.0,2.0,251.0,7.0,Пионер,кирпичный,2003.0,3.0,,
3-комнатная квартира,97500000.0,,150.0,,Beilgravia Villas Almaty,,2022.0,5.0,2 с/у и более,
5-комнатная квартира,95040000.0,,192.0,,Parmigiano Country Club,,2022.0,3.0,2 с/у и более,
2-комнатная квартира,15050500.0,,48.55,,Dostar,,2022.0,2.7,раздельный,
3-комнатная квартира,73147648.0,,112.0,,Exclusive Time,,2021.0,3.0,2 с/у и более,
2-комнатная квартира,57190000.0,,68.3,,La Verde,,2022.0,3.0,совмещенный,
5-комнатная квартира,186920000.0,,233.65,,Esentai City,,2018.0,3.25,2 с/у и более,
4-комнатная квартира,101623000.0,,134.6,,Koktobe city,,2021.0,3.0,2 с/у и более,
2-комнатная квартира,34500000.0,1.0,52.1,12.0,,,1987.0,,раздельный,частично меблирована
3-комнатная квартира,65000000.0,4.0,90.0,9.0,White Fort,монолитный,2007.0,2.8,2 с/у и более,полностью меблирована
3-комнатная квартира,70000000.0,5.0,138.0,8.0,Европолис,,2015.0,3.0,,
3-комнатная квартира,76139165.0,,118.7,,Exclusive Time,,2021.0,3.0,2 с/у и более,
