number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3-комнатная квартира,40392000.0,,81.0,,Gulder,,"16 этажей, 2020",2.7,2 с/у и более,
2-комнатная квартира,42313500.0,,77.95,,Felicita,,"3 этажа, 2021",3.0,2 с/у и более,
2-комнатная квартира,32211200.0,,57.52,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
3-комнатная квартира,29800000.0,3.0,79.0,3.0,,,2015,3.0,2 с/у и более,частично меблирована
3-комнатная квартира,91760000.0,,148.0,,Lafayette,,"3 этажа, 2022",3.2,2 с/у и более,
2-комнатная квартира,32373600.0,,57.81,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
4-комнатная квартира,107012000.0,,172.6,,Lafayette,,"3 этажа, 2022",3.2,раздельный,
2-комнатная квартира,35000000.0,1.0,60.0,9.0,Хан-Тенгри,монолитный,2011,2.8,совмещенный,полностью меблирована
2-комнатная квартира,26500000.0,9.0,67.4,9.0,,,2009,2.7,раздельный,частично меблирована
3-комнатная квартира,53757000.0,,100.42,,Felicita,,"3 этажа, 2021",3.0,2 с/у и более,
2-комнатная квартира,33084800.0,,59.08,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
4-комнатная квартира,119474000.0,,192.7,,Lafayette,,"3 этажа, 2022",3.2,2 с/у и более,
1-комнатная квартира,34904800.0,,62.33,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,39122000.0,,63.1,,Lafayette,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,20500000.0,10.0,65.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
3-комнатная квартира,54886000.0,,102.64,,Felicita,,"3 этажа, 2021",3.0,2 с/у и более,
1-комнатная квартира,37088800.0,,66.23,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
2-комнатная квартира,57164000.0,,92.2,,Lafayette,,"3 этажа, 2022",3.2,2 с/у и более,
3-комнатная квартира,56000000.0,2.0,141.0,9.0,Аль-Фараби,монолитный,2008,2.8,2 с/у и более,полностью меблирована
1-комнатная квартира,19300000.0,6.0,45.0,10.0,,,,2.8,совмещенный,полностью меблирована
2-комнатная квартира,42890400.0,,76.59,,Lancashire,,"3 этажа, 2022",3.2,2 с/у и более,
2-комнатная квартира,19899999.0,1.0,59.4,3.0,,,2016,2.8,,
5-комнатная квартира,48000000.0,1.0,195.1,3.0,,,2010,2.8,2 с/у и более,частично меблирована
1-комнатная квартира,26228800.0,,46.72,,Felicita,,"3 этажа, 2021",3.0,совмещенный,
2-комнатная квартира,43187200.0,,77.12,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,9000000.0,5.0,28.5,10.0,Alma City,панельный,2021,2.8,,
2-комнатная квартира,33000000.0,2.0,62.5,3.0,Sweet Home Garden,монолитный,2016,2.8,совмещенный,частично меблирована
2-комнатная квартира,44660000.0,,79.75,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,31300000.0,,57.17,,Felicita,,"3 этажа, 2021",3.0,2 с/у и более,
2-комнатная квартира,45080000.0,,80.5,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,5500000.0,2.0,20.0,4.0,,,2014,3.0,совмещенный,
2-комнатная квартира,50344000.0,,89.9,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
3-комнатная квартира,51122400.0,,91.29,,Lancashire,,"3 этажа, 2022",3.2,2 с/у и более,
4-комнатная квартира,91616000.0,,163.6,,Lancashire,,"3 этажа, 2022",3.2,2 с/у и более,
1-комнатная квартира,12500000.0,9.0,28.0,10.0,,,2020,,,
1-комнатная квартира,20899200.0,,37.32,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,21375200.0,,38.17,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,16000000.0,10.0,44.0,10.0,Alma City,монолитный,2019,2.8,,
2-комнатная квартира,26000000.0,14.0,108.0,16.0,Премьера,монолитный,2014,2.8,раздельный,частично меблирована
1-комнатная квартира,25692800.0,,45.88,,Lancashire,,"3 этажа, 2022",3.2,2 с/у и более,
3-комнатная квартира,27300000.0,7.0,72.0,10.0,Alma City,монолитный,2019,2.8,раздельный,частично меблирована
2-комнатная квартира,17700000.0,2.0,44.5,10.0,,,2017,,совмещенный,
1-комнатная квартира,26325600.0,,47.01,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,20500000.0,7.0,63.0,16.0,Премьера,монолитный,2012,2.8,совмещенный,
2-комнатная квартира,26566400.0,,47.44,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
3-комнатная квартира,27300000.0,7.0,76.0,10.0,,,2017,,раздельный,
3-комнатная квартира,47300000.0,3.0,110.0,4.0,,,2022,,,
2-комнатная квартира,22500000.0,5.0,45.0,10.0,Alma City,,2021,,,
2-комнатная квартира,38700000.0,3.0,90.0,4.0,,,2022,,,
1-комнатная квартира,27171200.0,,48.52,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,21500000.0,2.0,50.0,4.0,,,2022,,,
2-комнатная квартира,27731200.0,,49.52,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,16700000.0,6.0,44.5,10.0,Alma City,монолитный,2020,2.8,совмещенный,
2-комнатная квартира,15200000.0,7.0,51.0,10.0,,,2017,2.7,,
1-комнатная квартира,27815200.0,,49.67,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,13500000.0,3.0,31.8,5.0,,,1988,,совмещенный,частично меблирована
3-комнатная квартира,35000000.0,10.0,89.0,10.0,Alma City,монолитный,2020,2.7,2 с/у и более,полностью меблирована
2-комнатная квартира,28464800.0,,50.83,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
3-комнатная квартира,30300000.0,4.0,132.0,16.0,Премьера,монолитный,2013,2.8,2 с/у и более,частично меблирована
2-комнатная квартира,32000000.0,12.0,108.0,16.0,Премьера,монолитный,2013,2.8,2 с/у и более,полностью меблирована
1-комнатная квартира,30934400.0,,55.24,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
2-комнатная квартира,23500000.0,6.0,94.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
3-комнатная квартира,30500000.0,6.0,74.0,9.0,Шугыла,монолитный,2016,2.7,,
2-комнатная квартира,29000000.0,8.0,108.0,16.0,Премьера,монолитный,,,,
1-комнатная квартира,19000000.0,10.0,65.0,16.0,Премьера,монолитный,2013,,,
2-комнатная квартира,32320000.0,1.0,58.0,3.0,Felicita,монолитный,2021,3.0,2 с/у и более,пустая
1-комнатная квартира,14500000.0,15.0,38.0,16.0,Gulder,,2022,2.7,,
2-комнатная квартира,25000000.0,5.0,93.0,16.0,Премьера,монолитный,2013,,,
2-комнатная квартира,22000000.0,15.0,75.0,16.0,Премьера,монолитный,2013,,,
2-комнатная квартира,26000000.0,3.0,72.0,10.0,,,2020,2.6,раздельный,полностью меблирована
3-комнатная квартира,53000000.0,7.0,109.0,9.0,,,2006,,,
2-комнатная квартира,30000000.0,4.0,108.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
3-комнатная квартира,36000000.0,6.0,130.0,6.0,Премьера,монолитный,2014,,2 с/у и более,частично меблирована
2-комнатная квартира,25000000.0,3.0,62.8,9.0,Шугыла,монолитный,2017,2.7,раздельный,частично меблирована
7-комнатная квартира,178000000.0,,242.9,,Crystal Air Village (КГ),монолитный,2004,2.7,2 с/у и более,полностью меблирована
1-комнатная квартира,16500000.0,7.0,41.0,10.0,,,2017,,совмещенный,
3-комнатная квартира,41000000.0,9.0,84.0,10.0,Хан-Тенгри,монолитный,2011,2.9,2 с/у и более,
3-комнатная квартира,36500000.0,14.0,110.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
1-комнатная квартира,20500000.0,3.0,64.0,16.0,Премьера,монолитный,2014,2.8,совмещенный,частично меблирована
1-комнатная квартира,22000000.0,6.0,64.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,полностью меблирована
1-комнатная квартира,22500000.0,11.0,64.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
3-комнатная квартира,45000000.0,12.0,130.0,16.0,Премьера,монолитный,2013,2.8,2 с/у и более,полностью меблирована
2-комнатная квартира,25700000.0,13.0,93.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
2-комнатная квартира,29000000.0,2.0,67.8,9.0,,,2009,2.8,раздельный,
2-комнатная квартира,17800000.0,2.0,42.0,10.0,,,2017,,совмещенный,
1-комнатная квартира,7750000.0,5.0,30.0,5.0,,,2021,2.7,,пустая
1-комнатная квартира,18500000.0,8.0,40.0,9.0,,,2019,,,полностью меблирована
2-комнатная квартира,19450000.0,1.0,60.0,10.0,Alma City,монолитный,2019,2.8,совмещенный,частично меблирована
2-комнатная квартира,33000000.0,9.0,108.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,
2-комнатная квартира,32000000.0,6.0,94.0,16.0,Премьера,монолитный,2014,2.8,совмещенный,полностью меблирована
2-комнатная квартира,24500000.0,8.0,60.0,16.0,Премьера,монолитный,2013,2.8,раздельный,частично меблирована
