number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
6-комнатная квартира,45000000.0,,199.0,,Жана Куат (КГ),,"2 этажа, 2021",2.7,2 с/у и более,
2-комнатная квартира,10656000.0,,44.4,,Gres Park,,"3 этажа, 2021",2.75,совмещенный,
1-комнатная квартира,8000000.0,,32.0,,Жана Куат (КГ),,"2 этажа, 2020",2.7,совмещенный,
4-комнатная квартира,31000000.0,4.0,82.8,5.0,,кирпичный,1991,2.7,раздельный,частично меблирована
2-комнатная квартира,12500000.0,3.0,37.0,3.0,,,,2.7,совмещенный,частично меблирована
2-комнатная квартира,15024000.0,,62.6,,Gres Park,,"3 этажа, 2021",2.75,совмещенный,
2-комнатная квартира,16000000.0,,64.0,,Жана Куат (КГ),,"2 этажа, 2021",2.7,совмещенный,
3-комнатная квартира,15984000.0,,66.6,,Gres Park,,"3 этажа, 2021",2.75,совмещенный,
4-комнатная квартира,31000000.0,4.0,81.6,5.0,,,1991,2.7,раздельный,частично меблирована
2-комнатная квартира,24500000.0,3.0,57.1,5.0,,,1988,2.7,раздельный,частично меблирована
4-комнатная квартира,30000000.0,,100.0,,Жана Куат (КГ),,"2 этажа, 2021",2.7,2 с/у и более,
3-комнатная квартира,18072000.0,,75.3,,Gres Park,,"3 этажа, 2021",2.75,совмещенный,
5-комнатная квартира,29950000.0,,131.6,,,,2018,2.9,2 с/у и более,
2-комнатная квартира,28000000.0,3.0,52.0,5.0,,,1983,,раздельный,
1-комнатная квартира,10008000.0,,41.7,,Gres Park,,"3 этажа, 2021",2.75,совмещенный,
1-комнатная квартира,17000000.0,2.0,44.0,5.0,,,,2.8,совмещенный,
1-комнатная квартира,13800000.0,3.0,30.9,5.0,,,1986,2.85,совмещенный,пустая
2-комнатная квартира,20500000.0,3.0,41.4,5.0,,,1988,2.7,раздельный,частично меблирована
4-комнатная квартира,25750000.0,,106.0,,,,2019,2.9,2 с/у и более,
1-комнатная квартира,12950000.0,4.0,35.0,5.0,,,1993,,совмещенный,пустая
2-комнатная квартира,30000000.0,5.0,70.0,5.0,,монолитный,2018,2.75,раздельный,полностью меблирована
2-комнатная квартира,16000000.0,3.0,51.7,3.0,,,1984,2.8,раздельный,частично меблирована
1-комнатная квартира,12900000.0,5.0,34.6,5.0,,,1990,,совмещенный,полностью меблирована
3-комнатная квартира,18000000.0,1.0,58.0,3.0,,,1965,2.8,,полностью меблирована
2-комнатная квартира,18000000.0,2.0,45.1,3.0,,,1965,2.5,совмещенный,частично меблирована
3-комнатная квартира,15500000.0,1.0,53.0,3.0,,,1961,,,
3-комнатная квартира,20400000.0,5.0,66.5,5.0,,,,2.8,раздельный,частично меблирована
2-комнатная квартира,20500000.0,4.0,60.4,5.0,,,2010,,раздельный,частично меблирована
2-комнатная квартира,23000000.0,1.0,62.0,3.0,,,1990,,раздельный,полностью меблирована
3-комнатная квартира,16000000.0,,55.0,,,,,,раздельный,
1-комнатная квартира,15000000.0,4.0,39.0,5.0,,,1994,3.0,совмещенный,частично меблирована
2-комнатная квартира,14000000.0,5.0,42.0,5.0,,,1984,,,
3-комнатная квартира,16555555.0,1.0,56.0,2.0,,,1960,3.0,совмещенный,пустая
1-комнатная квартира,15300000.0,4.0,40.0,5.0,,,2017,,совмещенный,частично меблирована
2-комнатная квартира,14800000.0,2.0,40.0,3.0,,,1968,,совмещенный,
4-комнатная квартира,25500000.0,5.0,94.0,6.0,,,1979,2.8,2 с/у и более,частично меблирована
3-комнатная квартира,20500000.0,4.0,70.0,4.0,,монолитный,1973,2.5,раздельный,полностью меблирована
3-комнатная квартира,25700000.0,9.0,85.0,9.0,,,2016,,раздельный,частично меблирована
2-комнатная квартира,21000000.0,2.0,64.0,5.0,,,2017,,раздельный,частично меблирована
2-комнатная квартира,21500000.0,4.0,50.0,5.0,,,2017,,совмещенный,частично меблирована
2-комнатная квартира,24000000.0,1.0,55.0,5.0,,,2013,2.97,раздельный,частично меблирована
1-комнатная квартира,13999999.0,3.0,38.0,5.0,,,1993,2.7,совмещенный,
2-комнатная квартира,15700000.0,5.0,45.0,5.0,,,1986,2.75,раздельный,частично меблирована
2-комнатная квартира,36900000.0,2.0,66.23,4.0,Lancashire,монолитный,2022,,совмещенный,
3-комнатная квартира,23500000.0,1.0,66.3,5.0,,,1986,2.8,раздельный,частично меблирована
2-комнатная квартира,11000000.0,2.0,48.0,2.0,,,1960,,,
2-комнатная квартира,24000000.0,2.0,59.5,5.0,,,,2.2,совмещенный,
3-комнатная квартира,21500000.0,3.0,65.0,3.0,,,1970,2.7,совмещенный,частично меблирована
4-комнатная квартира,29500000.0,2.0,79.3,5.0,,,1990,2.7,2 с/у и более,частично меблирована
2-комнатная квартира,21800000.0,4.0,69.1,5.0,,,2015,2.65,раздельный,частично меблирована
3-комнатная квартира,25000000.0,1.0,61.4,4.0,,,1973,,,
2-комнатная квартира,22000000.0,2.0,58.6,5.0,,,,2.7,раздельный,частично меблирована
1-комнатная квартира,14000000.0,1.0,35.0,5.0,,,1986,2.8,совмещенный,пустая
2-комнатная квартира,18800000.0,3.0,49.0,4.0,,,1970,2.6,раздельный,частично меблирована
3-комнатная квартира,29500000.0,4.0,68.0,4.0,,,1973,2.5,раздельный,полностью меблирована
3-комнатная квартира,29500000.0,4.0,67.8,5.0,,,1993,,раздельный,частично меблирована
3-комнатная квартира,25500000.0,1.0,64.1,5.0,,,1992,2.7,раздельный,частично меблирована
3-комнатная квартира,25000000.0,1.0,76.9,6.0,,,,2.7,раздельный,пустая
2-комнатная квартира,18500000.0,4.0,45.0,5.0,,,1989,2.8,раздельный,полностью меблирована
4-комнатная квартира,26500000.0,1.0,84.5,5.0,,,1996,,раздельный,
1-комнатная квартира,10500000.0,,30.0,,,,2018,3.0,совмещенный,пустая
1-комнатная квартира,5500000.0,2.0,22.2,2.0,,,1970,3.0,,
2-комнатная квартира,11000000.0,2.0,48.0,2.0,,,,,,
