1-комнатная квартира,от 21 702 720 〒,, 48.1 м²,"жил. комплекс Nomad 2,  г.п., жил. площадь 26.1 кв.м., кухня 8 кв.м., потолки 2.7м., санузел 2 с/у и более, Современный жилой комплекс Nomad 2 располагается в тихом и уютном Алмалинском районе от улиц Толе би и Гагарина. Преимущества:✅Стадионы…"
2-комнатная квартира,34 000 000 〒, 4/4 этаж, 55 м²,"кирпичный дом, 1972 г.п., состояние: евроремонт, жил. площадь 34 кв.м., кухня 11 кв.м., потолки 2.8м., телефон: отдельный, интернет оптика, полностью меблирована, Продается шикарная квартира в самом сердце Южной Столицы. Эксклюзивный дизайн интерьера выполнен в спокойной и светлой цветовой гамме, ч…"
3-комнатная квартира,от 59 983 000 〒,, 109.06 м²,"жил. комплекс LakeTown,  г.п., потолки 2.7м., санузел 2 с/у и более, Современный ЖК Lake Town в Алматы находится в удачном месте возле живописного озера Сайран и зеленой зоны. Это центральная часть столицы, где нет городской суеты, напротив – вокруг царит атмосфера спокойст…"
3-комнатная квартира,30 500 000 〒, 3/5 этаж, 70 м²,"панельный дом, 1995 г.п., состояние: евроремонт, жил. площадь 42 кв.м., кухня 10.5 кв.м., санузел раздельный, частично меблирована, Пластиковые окна, неугловая, улучшенная, встроенная кухня, новая сантехника, счётчики, тихий двор, кондиционер. Эксклюзивное предложение. Квартира не угловая, третий…"
3-комнатная квартира,37 000 000 〒, 2/13 этаж, 67 м²,"жил. комплекс Atlant, монолитный дом, 2020 г.п., состояние: евроремонт, потолки 2.8м., санузел совмещенный, частично меблирована, Срочно продаем тёплую и уютную квартиру на первом этаже. Идеально подходит как для жилья так и для коммерции. Под данной квартирой ещё два этажа, коммерция и паркин…"
1-комнатная квартира,23 490 000 〒, 11/12 этаж, 38.5 м²,"жил. комплекс SIRIUS, монолитный дом, 2021 г.п., состояние: черновая отделка, потолки 3.2м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, пустая, В новом жилом комплексе бизнес класса, продаётся однокомнатная квартира на 11 этаже двенадцати этажного монолитного…"
2-комнатная квартира,35 500 000 〒, 5/9 этаж, 56 м²,"панельный дом, 1993 г.п., состояние: евроремонт, санузел раздельный, интернет ADSL, полностью меблирована, 🔥Отличное предложение 👍Светлая, уютная, чистая квартира в самом центре города. Полностью меблированная, имеется 2 балкона! Рядом вся инфраструктура"
2-комнатная квартира,31 000 000 〒, 5/8 этаж, 57 м²,"кирпичный дом, 1977 г.п., состояние: хорошее, жил. площадь 33 кв.м., кухня 9.5 кв.м., потолки 2.8м., санузел раздельный, телефон: отдельный, интернет ADSL, полностью меблирована, Продаётся 2-х комнатная мебелированная квартира в сейсмостойком жилом доме, расположенном в тихом и красивом районе наш…"
1-комнатная квартира,17 800 000 〒, 2/4 этаж, 33.6 м²,"кирпичный дом, 1970 г.п., состояние: хорошее, жил. площадь 19 кв.м., кухня 7 кв.м., потолки 2.8м., санузел совмещенный, телефон: отдельный, интернет проводной, Продам 1к квартиру. Пластиковые окна, решетки на окнах, железная дверь. ПРОДАЖА ОТ СОБСТВЕННИКА, БЕЗ посРЕДНИКОВ ! БЕЗ ПЕРЕПЛАТЫ ! ПОДХОДИ…"
5-комнатная квартира,50 000 000 〒, 4/9 этаж, 93.5 м²,"1978 г.п., состояние: хорошее, жил. площадь 62.8 кв.м., кухня 7.4 кв.м., потолки 2.6м., санузел 2 с/у и более, телефон: есть возможность подключения, интернет ADSL, частично меблирована, Продам 5-ти комнатную, частично меблированную квартиру. Квартира находится в пешеходной зоне: ул. Панфило…"
