1-комнатная квартира,14 200 000 〒, 3/5 этаж, 34 м²,"панельный дом, 1986 г.п., состояние: хорошее, потолки 2.8м., санузел совмещенный, интернет ADSL, частично меблирована, Развитая инфраструктура. Возможно ипотека"
1-комнатная квартира,17 000 000 〒, 1/5 этаж, 42 м²,"панельный дом, 1985 г.п., состояние: среднее, санузел совмещенный, телефон: отдельный, интернет ADSL, частично меблирована, Срочно!Срочно! торг! Квартира чистая, не залоговая, все документы в порядке. Очень удобное Расположение под коммерцию. Развитая инфраструктура, базары, школы, банки, остановк…"
2-комнатная квартира,26 000 000 〒, 7/10 этаж, 56 м²,"жил. комплекс Максима на Райымбека, монолитный дом, 2007 г.п., состояние: хорошее, потолки 2.7м., санузел раздельный, телефон: отдельный, интернет ADSL, полностью меблирована, Полностью с мебелью и бытовой техникой!"
3-комнатная квартира,23 755 555 〒, 1/2 этаж, 59.3 м²,"1967 г.п., состояние: требует ремонта, жил. площадь 42.4 кв.м., кухня 6.9 кв.м., потолки 2.8м., санузел совмещенный, телефон: отдельный, интернет ADSL, частично меблирована, Район автовокзала Саяхат (выход на пр. Суюнбай), тихий двор, огорожено от основной улицы, доброжелательные соседи, во дво…"
3-комнатная квартира,22 500 000 〒, 4/4 этаж, 58 м²,"панельный дом, 1969 г.п., состояние: хорошее, потолки 2.8м., санузел раздельный, частично меблирована"
5-комнатная квартира,30 000 000 〒,, 120 м²,"кирпичный дом, 1986 г.п., состояние: хорошее, потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет проводной, частично меблирована, Продаётся дом/квартира Продаётся 2 дома/квартиры на одном участке. В многоквартирном одноэтажном здании. На земле. В микрорайоне «Кокжиек». 3х комн. - 65к…"
1-комнатная квартира,16 200 000 〒, 1/3 этаж, 59 м²,"кирпичный дом, 1983 г.п., состояние: хорошее, жил. площадь 32 кв.м., кухня 15 кв.м., потолки 3м., санузел совмещенный, телефон: отдельный, интернет оптика, полностью меблирована, Продажа от хозяина, только за НАЛИЧКУ или наличка + пенсионные! Горящий вариант по низкой стоимости, полностью с мебе…"
2-комнатная квартира,22 500 000 〒, 2/6 этаж, 65 м²,"монолитный дом, 2009 г.п., состояние: евроремонт, жил. площадь 35 кв.м., кухня 12 кв.м., потолки 2.7м., санузел раздельный, телефон: есть возможность подключения, интернет оптика, частично меблирована, Дом монолитный. Квартира не угловая, 2-й этаж, солнечная сторона. В зимнее время дом теплый. ко…"
2-комнатная квартира,23 000 000 〒, 6/6 этаж, 65 м²,"монолитный дом, 2009 г.п., состояние: евроремонт, жил. площадь 50 кв.м., кухня 18 кв.м., потолки 2.8м., санузел раздельный, телефон: отдельный, интернет оптика, полностью меблирована, Доброго времени суток! В квартире ремонт произвели в 2018 году. Всю квартиру разобрали до бетонного основания, зам…"
2-комнатная квартира,24 000 000 〒, 3/5 этаж, 61 м²,"панельный дом, 1988 г.п., состояние: среднее, санузел раздельный, полностью меблирована, Очень хорошая красивая планировка, дорогой спальный гарнитур, оставляем всю мебель, рядом школы, садики, базар, поликлиника, сквер все в шаговой доступности, теплые полы, торг при осмотре уместен, срочно"
