6-комнатная квартира,от 45 000 000 〒,, 199 м²,"жил. комплекс Жана Куат (КГ), 2 этажа, 2021 г.п., потолки 2.7м., санузел 2 с/у и более, Доступно в ипотеку и за наличный расчет!Преимущества:✅5 детских садов✅Две детские площадки✅Развит…"
2-комнатная квартира,от 10 656 000 〒,, 44.4 м²,"жил. комплекс Gres Park, 3 этажа, 2021 г.п., жил. площадь 12.9 кв.м., кухня 17.8 кв.м., потолки 2.75м., санузел совмещенный, Современный жилой комплекс Gres Park – дома малой этажности с квартирами комфорт-класса практичной планировки. Комплекс расположен в зеленой зоне в микрорайоне Гульдер (бл…"
1-комнатная квартира,от 8 000 000 〒,, 32 м²,"жил. комплекс Жана Куат (КГ), 2 этажа, 2020 г.п., потолки 2.7м., санузел совмещенный, В данном объекте недоступно приобретение в ипотеку. Только наличный расчет. Преимущества: ✅5 детских садов✅Д…"
4-комнатная квартира,31 000 000 〒, 4/5 этаж, 82.8 м²,"кирпичный дом, 1991 г.п., состояние: хорошее, потолки 2.7м., санузел раздельный, телефон: есть возможность подключения, интернет ADSL, частично меблирована, Продам хорошую и тёплую квартиру, кирпичный дом, тихий двор, хорошие соседи, идеальная квартира для большой семьи, юридически чиста, вари…"
2-комнатная квартира,12 500 000 〒, 3/3 этаж, 37 м²,"1986 г.п., состояние: хорошее, жил. площадь 26 кв.м., потолки 2.7м., санузел совмещенный, телефон: отдельный, интернет проводной, частично меблирована, Дом находится по сейфуллина, ниже рыскулова. квартира на 3 этаже. тихий спокойный район, рядом магнум, красивый парк возле бака для прогулок, много…"
2-комнатная квартира,от 15 024 000 〒,, 62.6 м²,"жил. комплекс Gres Park, 3 этажа, 2021 г.п., жил. площадь 36.7 кв.м., кухня 11.4 кв.м., потолки 2.75м., санузел совмещенный, Современный жилой комплекс Gres Park – дома малой этажности с квартирами комфорт-класса практичной планировки. Комплекс расположен в зеленой зоне в микрорайоне Гульдер (бл…"
2-комнатная квартира,от 16 000 000 〒,, 64 м²,"жил. комплекс Жана Куат (КГ), 2 этажа, 2021 г.п., потолки 2.7м., санузел совмещенный, В данном объекте недоступно приобретение в ипотеку. Только наличный расчет. Купить дом в Жана Куат - выгодное вложение для качественного…"
3-комнатная квартира,от 15 984 000 〒,, 66.6 м²,"жил. комплекс Gres Park, 3 этажа, 2021 г.п., жил. площадь 36.7 кв.м., кухня 16.3 кв.м., потолки 2.75м., санузел совмещенный, Современный жилой комплекс Gres Park – дома малой этажности с квартирами комфорт-класса практичной планировки. Комплекс расположен в зеленой зоне в микрорайоне Гульдер (бл…"
4-комнатная квартира,31 000 000 〒, 4/5 этаж, 81.6 м²,"кирпичный дом, 1991 г.п., состояние: среднее, жил. площадь 73.6 кв.м., кухня 8 кв.м., потолки 2.7м., санузел раздельный, телефон: есть возможность подключения, интернет ADSL, частично меблирована, Продам большую и уютную квартиру, тихий двор, хорошие соседи, торг уместен"
2-комнатная квартира,24 500 000 〒, 3/5 этаж, 57.1 м²,"панельный дом, 1988 г.п., состояние: евроремонт, жил. площадь 31.5 кв.м., кухня 9.1 кв.м., потолки 2.7м., санузел раздельный, частично меблирована, Продаётся 2х комнатная квартира. Комиссии нет, Документы в порядке. Можно под ипотеку. Уступка после просмотра. Предложение напрямую от собственника"
4-комнатная квартира,от 30 000 000 〒,, 100 м²,"жил. комплекс Жана Куат (КГ), 2 этажа, 2021 г.п., потолки 2.7м., санузел 2 с/у и более, Доступно в ипотеку и за наличный расчет! Купить дом в Жана Куат - выгодное вложение для качественного и надежного проживания. Коттеджи Жана Куат в Алма…"
